DBA Name,Technology Code,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),CountyFips,county_name,state,Region,Latitude,Longitude,Consumer,NumberBlocksServiceAvailable
"600Amps Internet Services, Inc.",70,100,100,41015950301,Curry,Oregon,southwest,42.2661637,-124.1650816,1,13
"600Amps Internet Services, Inc.",70,100,100,41015950302,Curry,Oregon,southwest,42.0617567,-124.2939759,1,17
"600Amps Internet Services, Inc.",70,100,100,41015950400,Curry,Oregon,southwest,42.1168762,-123.9372602,1,24
"Alyrica Networks, Inc.",11,20,5,41003000100,Benton,Oregon,northwest,44.535963,-123.2632065,1,100
"Alyrica Networks, Inc.",11,20,5,41003000202,Benton,Oregon,northwest,44.5379586,-123.3077291,1,62
"Alyrica Networks, Inc.",11,20,5,41003000400,Benton,Oregon,northwest,44.5996416,-123.2820909,1,59
"Alyrica Networks, Inc.",11,20,5,41003000500,Benton,Oregon,northwest,44.6323014,-123.2601892,1,11
"Alyrica Networks, Inc.",11,20,5,41003000600,Benton,Oregon,northwest,44.610372,-123.1979735,1,61
"Alyrica Networks, Inc.",11,20,5,41003000900,Benton,Oregon,northwest,44.5849205,-123.3117656,1,78
"Alyrica Networks, Inc.",11,20,5,41003001001,Benton,Oregon,northwest,44.5893132,-123.2584733,1,41
"Alyrica Networks, Inc.",11,20,5,41003001002,Benton,Oregon,northwest,44.5829828,-123.272064,1,50
"Alyrica Networks, Inc.",11,20,5,41003001101,Benton,Oregon,northwest,44.5738237,-123.2789951,1,52
"Alyrica Networks, Inc.",11,20,5,41003001102,Benton,Oregon,northwest,44.5726708,-123.2676823,1,98
"Alyrica Networks, Inc.",11,20,5,41003010400,Benton,Oregon,northwest,44.3834105,-123.3334335,1,5
"Alyrica Networks, Inc.",11,20,5,41003010600,Benton,Oregon,northwest,44.5631226,-123.2669575,1,140
"Alyrica Networks, Inc.",11,20,5,41003010702,Benton,Oregon,northwest,44.5647285,-123.2930023,1,59
"Alyrica Networks, Inc.",11,20,5,41003010900,Benton,Oregon,northwest,44.5832911,-123.3605789,1,26
"Alyrica Networks, Inc.",11,20,5,41043030600,Linn,Oregon,northwest,44.3684924,-123.1481193,1,3
"Alyrica Networks, Inc.",11,20,5,41043030700,Linn,Oregon,northwest,44.5495616,-123.1341644,1,14
"Alyrica Networks, Inc.",50,40,5,41043030600,Linn,Oregon,northwest,44.3684924,-123.1481193,1,52
"Alyrica Networks, Inc.",50,1000,1000,41043030600,Linn,Oregon,northwest,44.3684924,-123.1481193,1,41
"Alyrica Networks, Inc.",70,40,5,41003000100,Benton,Oregon,northwest,44.535963,-123.2632065,1,109
"Alyrica Networks, Inc.",70,40,5,41003000202,Benton,Oregon,northwest,44.5379586,-123.3077291,1,107
"Alyrica Networks, Inc.",70,40,5,41003000400,Benton,Oregon,northwest,44.5996416,-123.2820909,1,94
"Alyrica Networks, Inc.",70,40,5,41003000500,Benton,Oregon,northwest,44.6323014,-123.2601892,1,82
"Alyrica Networks, Inc.",70,40,5,41003000600,Benton,Oregon,northwest,44.610372,-123.1979735,1,111
"Alyrica Networks, Inc.",70,40,5,41003000900,Benton,Oregon,northwest,44.5849205,-123.3117656,1,117
"Alyrica Networks, Inc.",70,40,5,41003001001,Benton,Oregon,northwest,44.5893132,-123.2584733,1,41
"Alyrica Networks, Inc.",70,40,5,41003001002,Benton,Oregon,northwest,44.5829828,-123.272064,1,50
"Alyrica Networks, Inc.",70,40,5,41003001101,Benton,Oregon,northwest,44.5738237,-123.2789951,1,52
"Alyrica Networks, Inc.",70,40,5,41003001102,Benton,Oregon,northwest,44.5726708,-123.2676823,1,98
"Alyrica Networks, Inc.",70,40,5,41003010100,Benton,Oregon,northwest,44.6685895,-123.1358511,1,188
"Alyrica Networks, Inc.",70,40,5,41003010200,Benton,Oregon,northwest,44.6254144,-123.40482539999999,1,467
"Alyrica Networks, Inc.",70,40,5,41003010300,Benton,Oregon,northwest,44.393732,-123.5302807,1,312
"Alyrica Networks, Inc.",70,40,5,41003010400,Benton,Oregon,northwest,44.3834105,-123.3334335,1,325
"Alyrica Networks, Inc.",70,40,5,41003010600,Benton,Oregon,northwest,44.5631226,-123.2669575,1,140
"Alyrica Networks, Inc.",70,40,5,41003010702,Benton,Oregon,northwest,44.5647285,-123.2930023,1,59
"Alyrica Networks, Inc.",70,40,5,41003010800,Benton,Oregon,northwest,44.5405029,-123.3596186,1,108
"Alyrica Networks, Inc.",70,40,5,41003010900,Benton,Oregon,northwest,44.5832911,-123.3605789,1,163
"Alyrica Networks, Inc.",70,40,5,41005022800,Clackamas,Oregon,northwest,45.2800534,-122.7422751,1,16
"Alyrica Networks, Inc.",70,40,5,41005022901,Clackamas,Oregon,northwest,45.2649782,-122.6422378,1,15
"Alyrica Networks, Inc.",70,40,5,41005022904,Clackamas,Oregon,northwest,45.2662193,-122.69582,1,2
"Alyrica Networks, Inc.",70,40,5,41005022906,Clackamas,Oregon,northwest,45.252494,-122.701224,1,16
"Alyrica Networks, Inc.",70,40,5,41005023800,Clackamas,Oregon,northwest,45.161249,-122.686388,1,181
"Alyrica Networks, Inc.",70,40,5,41005024000,Clackamas,Oregon,northwest,45.0079055,-122.4218329,1,4
"Alyrica Networks, Inc.",70,40,5,41039000100,Lane,Oregon,northwest,44.0734403,-122.1591677,1,2
"Alyrica Networks, Inc.",70,40,5,41039000200,Lane,Oregon,northwest,44.1771029,-122.7857863,1,57
"Alyrica Networks, Inc.",70,40,5,41039000300,Lane,Oregon,northwest,44.1633412,-123.0606095,1,138
"Alyrica Networks, Inc.",70,40,5,41039000402,Lane,Oregon,northwest,44.2006153,-123.357289,1,125
"Alyrica Networks, Inc.",70,40,5,41039000403,Lane,Oregon,northwest,44.2440816,-123.2431955,1,163
"Alyrica Networks, Inc.",70,40,5,41039000404,Lane,Oregon,northwest,44.2009216,-123.1814139,1,169
"Alyrica Networks, Inc.",70,40,5,41039000500,Lane,Oregon,northwest,44.1237391,-123.7189477,1,25
"Alyrica Networks, Inc.",70,40,5,41039000902,Lane,Oregon,northwest,44.0983335,-123.5055609,1,7
