DBA Name,Technology Code,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),state,Region,NumberBlocksServiceAvailable_ByCompanyAndRegion
"Alyrica Networks, Inc.",50,1000,1000,Oregon,northwest,41
Cable ONE,42,1000,50,Oregon,east,700
CenturyLink,50,1000,1000,Oregon,east,144
CenturyLink,50,1000,1000,Oregon,northwest,12107
CenturyLink,50,1000,1000,Oregon,southwest,133
CoastCom,50,1000,1000,Oregon,northwest,4
Comcast,50,1000,1000,Oregon,northwest,11
ComspanCommunications,50,1000,1000,Oregon,southwest,330
DATAVISION COMMUNICATIONS LLC,50,1000,100,Oregon,northwest,285
DATAVISION COMMUNICATIONS LLC,50,1000,1000,Oregon,northwest,12
DirectLink,50,1000,1000,Oregon,northwest,476
Douglas Fast Net,50,1000,1000,Oregon,northwest,44
Douglas Fast Net,50,1000,1000,Oregon,southwest,5957
"Eastern Oregon Net, Inc",50,1000,100,Oregon,east,34
"Eastern Oregon Net, Inc",50,1000,110,Oregon,east,2
"Eastern Oregon Net, Inc",50,1000,1000,Oregon,east,1
Eastern Oregon Telecom,50,1000,1000,Oregon,east,484
FireServe,50,1000,1000,Oregon,southwest,93
Hunter Communications Inc,50,1000,100,Oregon,southwest,942
Infostructure,50,1000,1000,Oregon,northwest,1
Infostructure,50,1000,1000,Oregon,southwest,4
Molalla Communications Company,50,1000,1000,Oregon,northwest,396
MonmouthIndependenceNetworks,50,1000,1000,Oregon,northwest,374
SCIO MUTUAL TELEPHONE,50,1000,1000,Oregon,northwest,185
SCS,50,1000,1000,Oregon,northwest,1
SCTC/PTC,50,1000,1000,Oregon,northwest,3
Viser,50,1000,1000,Oregon,northwest,27
Wave,42,1000,10,Oregon,northwest,119
Wave,43,1000,10,Oregon,northwest,874
XS Media,50,1000,1000,Oregon,northwest,10
Comcast,43,987,35,Oregon,east,17
Comcast,43,987,35,Oregon,northwest,35560
Comcast,43,987,35,Oregon,southwest,6
Charter Communications Inc,43,940,35,Oregon,east,2620
