Region,"Lessthan$20,000!!_dialupOnly","$20,000to$74,999!!_dialupOnly",75Kplus_dialupOnly
east,207,571,236
northwest,1114,3278,1310
southwest,461,1219,271
,,,
,,,
,,,
Region,"Lessthan$20,000!!_WithBroadband","$20,000to$74,999!!_WithBroadband",75Kplus_WithBroadband
east,15642,71161,56347
northwest,104722,428149,472923
southwest,27957,97953,60838
,,,
,,,
,,,
,,,
,,,
Region,"Lessthan$20,000WithoutInternet","$20,000to$74,999WithoutInternet",75KplusWithoutInternet
east,11281,18382,4932
northwest,59134,84234,21815
southwest,19146,24153,4399
