County,CountyName,Region
Baker County,Baker,east
Benton County,Benton,northwest
Clackamas County,Clackamas,northwest
Clatsop County,Clatsop,northwest
Columbia County,Columbia,northwest
Coos County,Coos,southwest
Crook County,Crook,east
Curry County,Curry,southwest
Deschutes County,Deschutes,east
Douglas County,Douglas,southwest
Gilliam County,Gilliam,east
Grant County,Grant,east
Harney County,Harney,east
Hood River County,Hood,east
Jackson County,Jackson,southwest
Jefferson County,Jefferson,east
Josephine County,Josephine,southwest
Klamath County,Klamath,southwest
Lake County,Lake,southwest
Lane County,Lane,northwest
Lincoln County,Lincoln,northwest
Linn County,Linn,northwest
Malheur County,Malheur,east
Marion County,Marion,northwest
Morrow County,Morrow,east
Multnomah County,Multnomah,northwest
Polk County,Polk,northwest
Sherman County,Sherman,east
Tillamook County,Tillamook,northwest
Umatilla County,Umatilla,east
Union County,Union,east
Wallowa County,Wallowa,east
Wasco County,Wasco,east
Washington County,Washington,northwest
Wheeler County,Wheeler,east
Yamhill County,Yamhill,northwest
