STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
41,049,970100,41049970100,9701,Census Tract 9701,G5020,S,796555478,42552778,+45.7717187,-119.7381327
41,049,970200,41049970200,9702,Census Tract 9702,G5020,S,4465288303,1225618,+45.3529390,-119.5528917
41,007,950100,41007950100,9501,Census Tract 9501,G5020,S,2661903,3889758,+46.1795717,-123.8557438
41,007,950200,41007950200,9502,Census Tract 9502,G5020,S,3130528,1042698,+46.1830548,-123.8324578
41,007,950300,41007950300,9503,Census Tract 9503,G5020,S,11734596,4403992,+46.1913876,-123.7861737
41,007,950400,41007950400,9504,Census Tract 9504,G5020,S,308793877,86388536,+46.1300279,-123.6746386
41,007,950500,41007950500,9505,Census Tract 9505,G5020,S,42253673,31112303,+46.1993793,-123.9561900
41,007,950600,41007950600,9506,Census Tract 9506,G5020,S,185478223,5564208,+46.0631037,-123.8231889
41,007,950700,41007950700,9507,Census Tract 9507,G5020,S,21652317,1576877,+46.0424321,-123.9001803
41,007,951300,41007951300,9513,Census Tract 9513,G5020,S,37184358,5280809,+46.0990511,-123.9199867
41,007,951200,41007951200,9512,Census Tract 9512,G5020,S,1066519156,39208299,+45.9851300,-123.5121325
41,007,950900,41007950900,9509,Census Tract 9509,G5020,S,4669971,1904336,+45.9967172,-123.9255758
41,007,990000,41007990000,9900,Census Tract 9900,G5020,S,0,470172238,+46.0763475,-123.9865578
41,007,951100,41007951100,9511,Census Tract 9511,G5020,S,463149301,10768467,+45.8862020,-123.8372660
41,003,010200,41003010200,102,Census Tract 102,G5020,S,486724800,309173,+44.6254144,-123.4048254
41,003,000600,41003000600,6,Census Tract 6,G5020,S,27102036,717218,+44.6103720,-123.1979735
41,003,010100,41003010100,101,Census Tract 101,G5020,S,51140564,1355272,+44.6685895,-123.1358511
41,003,000500,41003000500,5,Census Tract 5,G5020,S,18916975,0,+44.6323014,-123.2601892
41,003,000100,41003000100,1,Census Tract 1,G5020,S,9002240,268774,+44.5359630,-123.2632065
41,003,010400,41003010400,104,Census Tract 104,G5020,S,427598010,2631348,+44.3834105,-123.3334335
41,003,010300,41003010300,103,Census Tract 103,G5020,S,628387944,864204,+44.3937320,-123.5302807
41,003,000900,41003000900,9,Census Tract 9,G5020,S,9752064,0,+44.5849205,-123.3117656
41,003,000400,41003000400,4,Census Tract 4,G5020,S,9092349,0,+44.5996416,-123.2820909
41,003,001001,41003001001,10.01,Census Tract 10.01,G5020,S,1750595,0,+44.5893132,-123.2584733
41,003,001002,41003001002,10.02,Census Tract 10.02,G5020,S,1656250,0,+44.5829828,-123.2720640
41,003,001101,41003001101,11.01,Census Tract 11.01,G5020,S,669125,0,+44.5738237,-123.2789951
41,003,001102,41003001102,11.02,Census Tract 11.02,G5020,S,1490197,0,+44.5726708,-123.2676823
41,003,000202,41003000202,2.02,Census Tract 2.02,G5020,S,13662156,0,+44.5379586,-123.3077291
41,003,010702,41003010702,107.02,Census Tract 107.02,G5020,S,3525006,0,+44.5647285,-123.2930023
41,003,010800,41003010800,108,Census Tract 108,G5020,S,8446530,106587,+44.5405029,-123.3596186
41,003,010600,41003010600,106,Census Tract 106,G5020,S,2240837,115816,+44.5631226,-123.2669575
41,003,010900,41003010900,109,Census Tract 109,G5020,S,49522560,549566,+44.5832911,-123.3605789
41,027,950100,41027950100,9501,Census Tract 9501,G5020,S,1080174938,18086902,+45.4966594,-121.6818391
41,027,950200,41027950200,9502,Census Tract 9502,G5020,S,67190845,3947182,+45.6673157,-121.6097633
41,027,950300,41027950300,9503,Census Tract 9503,G5020,S,5656027,4800086,+45.7119831,-121.5249697
41,027,950400,41027950400,9504,Census Tract 9504,G5020,S,198819622,2272666,+45.6149428,-121.5211869
41,059,951400,41059951400,9514,Census Tract 9514,G5020,S,3437047823,187592,+45.3660385,-118.7063213
41,059,950500,41059950500,9505,Census Tract 9505,G5020,S,1073263002,0,+45.6177864,-119.1130209
41,059,950200,41059950200,9502,Census Tract 9502,G5020,S,38656385,0,+45.9229927,-118.4062129
41,059,950700,41059950700,9507,Census Tract 9507,G5020,S,4967299,0,+45.6723460,-118.7608173
