TableName,FullOrigColumnName,EditedColumnSub
S2802,GEO_ID,id
S2802,FIPS_CODE,fips_id
S2802,NAME,GeographicAreaName
S2802,TRACT_NAME,tract_name
S2802,COUNTY,county_name
S2802,STATE,state
S2802,S2802_C01_001E,E-Households
S2802,S2802_C01_005E,E-Total-Households-Race_Hispanic_Latino-Whitealone
S2802,S2802_C02_001E,E-Computer-Broadband-Totalhouseholds
S2802,S2802_C02_005E,E-Computer-Broadband-Households-Race_Hispanic_Latino-Whitealone
S2802,S2802_C03_001E,PE-Computer-Broadband-Household
S2802,S2802_C03_005E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-Whitealone
S2802,S2802_C04_001E,E-Computer-NoInternet-Households
S2802,S2802_C04_005E,E-Computer-NoInternet-Households-Race_Hispanic_Latino-Whitealone
S2802,S2802_C05_001E,PE-Computer-NoInternet-Households
S2802,S2802_C05_005E,PE-Computer-NoInternet-Households-Race_Hispanic_Latino-Whitealone
S2802,S2802_C06_001E,E-NoComputer-Households
S2802,S2802_C06_005E,E-NoComputer-Households-Race_Hispanic_Latino-Whitealone
S2802,S2802_C07_001E,PE-NoComputer-Households
S2802,S2802_C07_005E,PE-NoComputer-Households-Race_Hispanic_Latino-Whitealone
S2802,S2802_C01_006E,E-Total-Households-Race_Hispanic_Latino-BlackorAfricanAmericanalone
S2802,S2802_C02_006E,E-Computer-Broadband-Households-Race_Hispanic_Latino-BlackorAfricanAmericanalone
S2802,S2802_C03_006E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-BlackorAfricanAmericanalone
S2802,S2802_C04_006E,E-Computer-NoInternet-Households-Race_Hispanic_Latino-BlackorAfricanAmericanalone
S2802,S2802_C05_006E,PE-Computer-NoInternet-Households-Race_Hispanic_Latino-BlackorAfricanAmericanalone
S2802,S2802_C06_006E,E-NoComputer-Households-Race_Hispanic_Latino-BlackorAfricanAmericanalone
S2802,S2802_C07_006E,PE-NoComputer-Households-Race_Hispanic_Latino-BlackorAfricanAmericanalone
S2802,S2802_C01_007E,E-Total-Households-Race_Hispanic_Latino-AmericanIndianandAlaskaNativealone
S2802,S2802_C02_007E,E-Computer-Broadband-Households-Race_Hispanic_Latino-AmericanIndianandAlaskaNativealone
S2802,S2802_C03_007E,PE-Computer-Broadband-Households-Race_Hispanic_Latino-AmericanIndianandAlaskaNativealone
S2802,S2802_C04_007E,E-Computer-NoInternet-Households-Race_Hispanic_Latino-AmericanIndianandAlaskaNativealone
S2802,S2802_C05_007E,PE-Computer-NoInternet-Households-Race_Hispanic_Latino-AmericanIndianandAlaskaNativealone
