,logrecno,provider_id,frn,providername,dbaname,holdingcompanyname,hoconum,hocofinal,stateabbr,blockcode,tract,techcode,consumer,maxaddown,maxadup,business,maxcirdown,maxcirup
0,4268,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950100,70,1,40,10,1,40,10
1,4269,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950300,70,1,40,10,1,40,10
2,4270,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950200,70,1,40,10,1,40,10
3,4271,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950100,70,1,40,10,1,40,10
4,4272,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950400,70,1,40,10,1,40,10
5,4273,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950200,70,1,40,10,1,40,10
6,4274,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950200,70,1,40,10,1,40,10
7,4275,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950100,70,1,40,10,1,40,10
8,4276,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950200,70,1,40,10,1,40,10
9,4277,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950300,70,1,40,10,1,40,10
10,4278,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950100,70,1,40,10,1,40,10
11,4279,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950300,70,1,40,10,1,40,10
12,4280,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950200,70,1,40,10,1,40,10
13,4281,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950300,70,1,40,10,1,40,10
14,4282,48582,17678236,Webformix Company,Webformix,Webformix Company,290118,Webformix Company,OR,4.1014E+14,41013950300,70,1,40,10,1,40,10
