fips_id,E_Computer_Broadband_Household
41001950100,2020
41001950200,2764
41001950300,1943
41001950400,2100
41001950500,1751
41001950600,1521
41003000100,7593
41003000202,4849
41003000400,7545
41003000500,2958
41003000600,3700
41003000900,5231
41003001001,3909
41003001002,3084
41003001101,2786
41003001102,3418
41003010100,8666
41003010200,4272
41003010300,3077
41003010400,3358
41003010600,2468
41003010702,2203
41003010800,3112
41003010900,4859
41005020100,3853
41005020200,5902
41005020302,4083
41005020303,5248
41005020304,5302
41005020401,5620
41005020403,3523
41005020404,3676
41005020501,6976
41005020503,2282
41005020504,6227
41005020505,2279
41005020600,8055
41005020700,3799
41005020800,3606
41005020900,3603
41005021000,4280
41005021100,4861
41005021200,3072
41005021300,4951
41005021400,4575
41005021500,4259
41005021601,5792
41005021602,4736
41005021700,5619
41005021801,5522
41005021802,3907
41005021900,3360
41005022000,5750
41005022101,6303
41005022103,7229
41005022105,6103
41005022107,3962
41005022108,2815
41005022201,4203
41005022205,3668
41005022206,6680
41005022207,6409
41005022208,6970
41005022301,3916
41005022302,5619
41005022400,3432
41005022500,6771
41005022602,4454
41005022603,3765
41005022605,7296
41005022606,4634
41005022702,6534
41005022707,5592
41005022708,3775
41005022710,2539
41005022800,3460
41005022901,3600
41005022904,3236
41005022905,4200
41005022906,2609
41005022907,3544
41005023001,3024
41005023002,3727
41005023100,5371
41005023201,3891
41005023202,7494
41005023300,4566
41005023401,4347
41005023403,5353
41005023404,5417
41005023500,5035
41005023600,3349
41005023700,4674
41005023800,5669
41005023901,4685
41005023902,4453
41005024000,2365
41005024100,4356
41005024200,4556
41005024302,4584
41005024303,2491
41005024304,2014
41005024400,6870
41005980000,18
41007950100,3138
41007950200,2939
41007950300,2275
41007950400,3416
41007950500,4261
41007950600,2561
41007950700,1786
41007950900,3508
41007951100,3750
41007951200,2646
41007951300,2153
41007990000,0
41009970200,5244
41009970300,4110
41009970400,2361
41009970500,5762
41009970600,5214
41009970700,3609
41009970800,6127
41009970900,4316
41009971000,4531
41009971100,2794
41011000100,4208
41011000200,2095
41011000300,2602
41011000400,5879
41011000502,2112
41011000503,2216
41011000504,4710
41011000600,2182
41011000700,6003
41011000800,2874
41011000900,5191
41011001000,5568
41011001100,4294
41011990101,0
41013950100,5750
41013950200,3630
41013950300,5779
41013950400,3444
41015950100,1983
41015950200,5036
41015950301,4093
41015950302,3696
41015950400,3657
41015990101,0
41017000100,1648
41017000200,3827
41017000300,7203
41017000401,4887
41017000402,2108
41017000500,5472
41017000600,6951
41017000700,6905
41017000800,6662
41017000900,6004
41017001001,13405
41017001002,2064
41017001100,11282
41017001200,6915
41017001300,12815
41017001400,5828
41017001500,4750
41017001600,4669
41017001700,7392
41017001800,7055
41017001901,1815
41017001902,8991
41017002000,7102
41017002100,11497
41019010000,1861
41019020000,2805
41019030000,3156
41019040000,1932
41019050001,3967
41019050002,5729
41019060000,3229
41019070000,4270
41019080000,6590
41019090000,6081
41019100000,2245
41019110000,2358
41019120000,5827
41019130000,4516
41019140000,4511
41019150000,6222
41019160000,6106
41019170000,2668
41019180000,3666
41019190000,4035
41019200000,3847
41019210000,3032
41019990000,0
41021960100,1471
41023960100,1190
41023960200,4498
41025960100,4105
41025960200,1551
41027950100,3279
41027950200,5897
41027950300,5061
41027950400,4505
41029000100,1072
41029000201,2867
41029000202,3292
41029000203,3475
41029000300,4738
41029000403,3794
41029000404,4450
41029000405,3625
41029000406,4159
41029000501,2755
41029000502,5014
41029000601,5760
41029000602,4508
41029000700,8437
41029000800,5531
41029000900,8093
41029001001,5970
41029001002,3825
41029001100,4736
41029001200,4089
41029001301,4298
41029001302,9441
41029001400,9488
41029001500,4515
41029001601,3381
41029001602,5472
41029001700,5637
41029001800,7868
41029001900,2076
41029002000,1906
41029002100,3108
41029002200,4303
41029002300,1495
41029002400,1503
41029002500,2029
41029002600,2096
41029002700,5872
41029002800,4144
41029002900,6766
41029003001,3627
41029003002,3570
41031940000,1878
41031960100,1302
41031960201,2606
41031960202,4636
41031960301,3263
41031960302,4105
41033360100,1649
41033360300,5163
41033360400,4244
41033360500,4638
41033360600,4893
41033360701,3443
41033360702,4867
41033360800,4437
41033360900,2122
41033361000,4489
41033361100,7982
41033361200,5913
41033361300,6178
41033361400,2017
41033361500,2021
41033361600,6317
41035970100,2128
41035970200,3591
41035970300,2509
41035970400,1082
41035970500,1191
41035970600,1282
41035970700,1507
41035970800,2048
41035970900,3840
41035971000,1806
41035971100,4306
41035971200,1811
41035971300,4300
41035971400,5000
41035971500,3087
41035971600,2477
41035971700,2541
41035971800,2060
41035971900,2992
41035972000,3399
41037960100,1630
41037960200,3376
41039000100,4679
41039000200,4827
41039000300,2216
41039000402,2754
41039000403,4770
41039000404,3342
41039000500,1605
41039000702,2119
41039000705,2586
41039000706,2068
41039000707,3393
41039000708,1933
41039000800,1202
41039000902,4026
41039000903,4752
41039000904,2804
41039001001,2138
41039001002,2949
41039001101,5402
41039001102,3032
41039001201,2978
41039001202,3576
41039001301,2555
41039001302,4320
41039001400,2145
41039001500,3621
41039001600,4859
41039001700,5079
41039001801,6008
41039001803,3712
41039001804,3604
41039001902,5944
41039001903,2843
41039001904,4476
41039002001,2761
41039002002,4099
41039002101,2132
41039002102,4926
41039002201,3399
41039002202,6316
41039002301,3790
41039002302,4161
41039002401,3726
41039002403,3471
41039002404,3453
41039002501,4896
41039002503,7835
41039002504,2768
41039002600,4893
41039002700,3763
41039002800,4193
41039002902,3506
41039002903,2489
41039002904,3481
41039003000,4125
41039003101,5504
41039003102,6118
41039003201,2572
41039003202,3316
41039003301,2633
41039003302,2836
41039003400,4321
41039003500,4006
41039003600,3268
41039003700,1224
41039003800,5615
41039003900,2222
41039004000,1888
41039004100,4139
41039004200,2595
41039004300,6093
41039004401,5113
41039004403,4684
41039004404,2944
41039004405,4229
41039004501,2569
41039004502,2884
41039004600,2632
41039004700,3983
41039004800,3315
41039004900,4221
41039005000,4976
41039005100,2863
41039005200,2105
41039005300,2288
41039005400,5329
41039990000,0
41041950100,2721
41041950303,1392
41041950304,3040
41041950400,3222
41041950601,1860
41041950602,2096
41041950800,2977
41041950900,3405
41041951000,1343
41041951100,1531
41041951200,1831
41041951300,2067
41041951400,2479
41041951500,2454
41041951600,2429
41041951700,1460
41041951800,3088
41041990100,0
41043020100,9141
41043020200,1630
41043020300,6943
41043020400,3366
41043020500,3268
41043020600,7200
41043020700,5211
41043020801,2102
41043020802,5430
41043030100,5096
41043030200,5488
41043030300,1931
41043030401,5927
41043030402,5794
41043030500,3884
41043030600,5906
41043030700,3449
41043030800,7102
41043030902,6596
41043030903,4765
41043030904,3646
41045940000,0
41045970200,3591
41045970300,2780
41045970400,3363
41045970500,3669
41045970600,3157
41045970700,1247
41045970900,2367
41047000200,2022
41047000300,3695
41047000400,4635
41047000501,3162
41047000502,3899
41047000600,3916
41047000701,5108
41047000900,4850
41047001000,3752
41047001100,3920
41047001200,3358
41047001300,3920
41047001401,5549
41047001402,5166
41047001501,4702
41047001502,4763
41047001503,3947
41047001601,7035
41047001602,9273
41047001603,6823
41047001604,6468
41047001701,5457
41047001702,4274
41047001703,4233
41047001801,5280
41047001802,7464
41047001803,2308
41047002000,9622
41047002101,1972
41047002102,5706
41047002201,1951
41047002202,6271
41047002301,3194
41047002303,6949
