County,CountyName,Region
Baker County,Baker,East
Benton County,Benton,Northwest
Clackamas County,Clackamas,Northwest
Clatsop County,Clatsop,Northwest
Columbia County,Columbia,Northwest
Coos County,Coos,Southwest
Crook County,Crook,East
Curry County,Curry,Southwest
Deschutes County,Deschutes,East
Douglas County,Douglas,Southwest
Gilliam County,Gilliam,East
Grant County,Grant,East
Harney County,Harney,East
Hood River County,Hood,East
Jackson County,Jackson,Southwest
Jefferson County,Jefferson,East
Josephine County,Josephine,Southwest
Klamath County,Klamath,Southwest
Lake County,Lake,Southwest
Lane County,Lane,Northwest
Lincoln County,Lincoln,Northwest
Linn County,Linn,Northwest
Malheur County,Malheur,East
Marion County,Marion,Northwest
Morrow County,Morrow,East
Multnomah County,Multnomah,Northwest
Polk County,Polk,Northwest
Sherman County,Sherman,East
Tillamook County,Tillamook,Northwest
Umatilla County,Umatilla,East
Union County,Union,East
Wallowa County,Wallowa,East
Wasco County,Wasco,East
Washington County,Washington,Northwest
Wheeler County,Wheeler,East
Yamhill County,Yamhill,Northwest
