id,Geographic Area Name,Region,"Less than $20,000!!_dialupOnly","Pct_Less than $20,000!!_dialupOnly","Less than $20,000!!_WithBroadband","Pct_Less than $20,000!!_WithBroadband","Less than $20,000WithoutInternet","Pct_Less than $20,000WithoutInternet","$20,000 to $74,999","$20,000 to $74,999!!_dialupOnly","Pct_$20,000 to $74,999!!_dialupOnly","$20,000 to $74,999!!_WithBroadband","Pct_$20,000 to $74,999!!_WithBroadband","$20,000 to $74,999WithoutInternet","Pct_$20,000 to $74,999WithoutInternet",75Kplus,75Kplus_dialupOnly,Pct_75Kplus_dialupOnly,75Kplus_WithBroadband,Pct_75Kplus_WithBroadband,75KplusWithoutInternet,Pct_75KplusWithoutInternet
0500000US41001,"Baker County, Oregon",east,31,2.3,726,53.4,603,44.3,3756,18,0.5,2612,69.5,1126,30,1811,2,0.1,1664,91.9,145,8
0500000US41003,"Benton County, Oregon",northwest,66,1,5368,80,1279,19.1,14127,91,0.6,12303,87.1,1733,12.3,14216,18,0.1,13562,95.4,636,4.5
0500000US41005,"Clackamas County, Oregon",northwest,129,0.9,9444,63,5414,36.1,61223,572,0.9,50248,82.1,10403,17,79246,165,0.2,76030,95.9,3051,3.9
0500000US41007,"Clatsop County, Oregon",northwest,3,0.1,1362,58.8,951,41.1,8133,24,0.3,6494,79.8,1615,19.9,5461,10,0.2,5057,92.6,394,7.2
0500000US41009,"Columbia County, Oregon",northwest,31,1.1,1687,62.5,983,36.4,8982,69,0.8,7085,78.9,1828,20.4,7613,66,0.9,7160,94,387,5.1
0500000US41011,"Coos County, Oregon",southwest,44,0.7,3026,50.1,2967,49.1,13999,152,1.1,10649,76.1,3198,22.8,6604,13,0.2,6001,90.9,590,8.9
0500000US41013,"Crook County, Oregon",east,0,0,797,52.7,715,47.3,5289,59,1.1,4139,78.3,1091,20.6,2538,0,0,2369,93.3,169,6.7
0500000US41015,"Curry County, Oregon",southwest,25,1.1,1117,50.9,1051,47.9,5366,106,2,3983,74.2,1277,23.8,2881,0,0,2626,91.1,255,8.9
0500000US41017,"Deschutes County, Oregon",east,59,0.7,5710,68.3,2596,31,34250,212,0.6,28331,82.7,5707,16.7,29856,79,0.3,27823,93.2,1954,6.5
0500000US41019,"Douglas County, Oregon",southwest,166,2,4925,58.7,3301,39.3,24628,342,1.4,19283,78.3,5003,20.3,12006,75,0.6,11125,92.7,806,6.7
0500000US41021,"Gilliam County, Oregon",east,3,2.2,55,40.7,77,57,472,11,2.3,309,65.5,152,32.2,241,2,0.8,225,93.4,14,5.8
0500000US41023,"Grant County, Oregon",east,0,0,374,53.3,328,46.7,1767,0,0,1381,78.2,386,21.8,825,19,2.3,756,91.6,50,6.1
0500000US41025,"Harney County, Oregon",east,0,0,217,46.6,249,53.4,1869,26,1.4,1462,78.2,381,20.4,822,4,0.5,688,83.7,130,15.8
0500000US41027,"Hood River County, Oregon",east,0,0,558,58.9,389,41.1,4091,20,0.5,3402,83.2,669,16.4,3501,18,0.5,3133,89.5,350,10
