"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan","Estimate!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access"
"1400000US41019150000","Census Tract 1500, Douglas County, Oregon","2822","160","2294","210","14","24","2280","209","1632","205","275","139","1874","245","608","188","144","86","0","17","0","17","29","44","499","173"
"1400000US41019210000","Census Tract 2100, Douglas County, Oregon","1949","135","1373","145","26","35","1347","149","741","143","157","72","790","133","379","91","484","113","201","58","0","12","109","64","467","102"
"1400000US41019010000","Census Tract 100, Douglas County, Oregon","1064","109","793","96","6","7","787","97","528","111","190","80","463","96","170","55","113","41","67","32","0","12","47","38","224","73"
"1400000US41019040000","Census Tract 400, Douglas County, Oregon","1139","91","883","97","29","26","854","97","583","81","139","57","609","85","189","60","135","42","59","35","0","12","8","9","248","72"
"1400000US41019050002","Census Tract 500.02, Douglas County, Oregon","2823","190","2191","214","13","22","2178","213","1567","211","258","129","1765","248","531","178","233","108","31","34","0","17","151","92","481","173"
"1400000US41019100000","Census Tract 1000, Douglas County, Oregon","1180","148","949","150","10","16","939","151","609","151","240","108","577","125","247","102","122","72","65","56","0","12","66","45","165","85"
"1400000US41019120000","Census Tract 1200, Douglas County, Oregon","3362","221","2629","238","47","44","2582","243","1916","250","363","182","2155","252","575","169","160","95","34","40","16","27","62","49","671","203"
"1400000US41019090000","Census Tract 900, Douglas County, Oregon","2778","165","2456","204","21","33","2435","196","1674","225","328","135","1935","203","652","155","231","108","49","47","22","34","73","66","249","110"
"1400000US41019130000","Census Tract 1300, Douglas County, Oregon","2345","178","2024","198","18","30","2006","199","1377","232","287","158","1632","237","609","200","101","77","20","31","0","17","36","37","285","121"
"1400000US41019170000","Census Tract 1700, Douglas County, Oregon","1371","117","1052","119","48","48","1004","116","762","126","155","63","566","123","94","58","388","92","146","63","2","4","32","29","287","89"
"1400000US41019030000","Census Tract 300, Douglas County, Oregon","1594","99","1317","94","39","23","1278","98","780","100","160","59","981","98","388","82","166","47","68","31","10","15","32","18","245","60"
"1400000US41019060000","Census Tract 600, Douglas County, Oregon","1469","113","1215","115","11","16","1204","117","794","132","61","42","1021","115","287","78","171","75","72","46","9","14","90","68","164","74"
"1400000US41019070000","Census Tract 700, Douglas County, Oregon","1931","197","1649","189","18","28","1631","185","1173","205","255","146","1123","176","297","124","238","85","109","54","34","37","32","38","250","106"
"1400000US41019200000","Census Tract 2000, Douglas County, Oregon","2061","122","1462","143","29","21","1433","142","939","130","258","78","1023","125","382","82","156","77","83","62","7","11","121","51","478","132"
"1400000US41023960200","Census Tract 9602, Grant County, Oregon","2483","138","1972","146","19","23","1953","146","1217","143","263","89","1508","154","661","134","213","80","56","41","0","17","39","21","472","76"
"1400000US41067032410","Census Tract 324.10, Washington County, Oregon","1377","68","1049","122","7","11","1042","121","867","130","147","72","853","128","162","56","42","30","0","12","4","8","114","78","214","99"
"1400000US41067032501","Census Tract 325.01, Washington County, Oregon","949","70","656","86","0","12","656","86","498","70","102","52","511","90","129","51","39","25","23","25","0","12","107","45","186","80"
"1400000US41067032502","Census Tract 325.02, Washington County, Oregon","1083","70","782","105","0","12","782","105","581","105","49","47","725","100","183","59","8","12","8","12","0","12","210","78","91","50"
"1400000US41067032503","Census Tract 325.03, Washington County, Oregon","1353","44","1224","81","0","12","1224","81","992","93","134","73","1076","91","222","71","63","40","0","12","0","12","38","37","91","55"
"1400000US41067032607","Census Tract 326.07, Washington County, Oregon","2583","171","2335","199","0","12","2335","199","1885","211","170","96","2154","218","426","113","48","39","0","12","11","18","121","79","127","79"
"1400000US41067032608","Census Tract 326.08, Washington County, Oregon","1020","59","941","68","0","12","941","68","743","75","55","35","886","67","192","59","12","14","0","12","0","12","46","31","33","21"
"1400000US41067032609","Census Tract 326.09, Washington County, Oregon","955","37","887","61","0","12","887","61","739","68","33","27","850","66","141","45","7","10","0","12","0","12","34","28","34","37"
"1400000US41067032610","Census Tract 326.10, Washington County, Oregon","967","47","860","67","0","12","860","67","655","79","84","36","759","71","183","47","49","26","6","9","0","12","50","37","57","43"
