"GEO_ID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer"
"1400000US41019150000","Census Tract 1500, Douglas County, Oregon","2822","160","2527","203","14","24","2269","210","244","108","295","150"
"1400000US41019210000","Census Tract 2100, Douglas County, Oregon","1949","135","1595","152","26","35","1328","151","241","89","354","107"
"1400000US41019010000","Census Tract 100, Douglas County, Oregon","1064","109","915","109","6","7","787","97","122","69","149","63"
"1400000US41019040000","Census Tract 400, Douglas County, Oregon","1139","91","961","94","29","26","854","97","78","45","178","58"
"1400000US41019050002","Census Tract 500.02, Douglas County, Oregon","2823","190","2477","207","13","22","2178","213","286","113","346","165"
"1400000US41019100000","Census Tract 1000, Douglas County, Oregon","1180","148","1053","151","10","16","939","151","104","46","127","80"
"1400000US41019120000","Census Tract 1200, Douglas County, Oregon","3362","221","2857","252","47","44","2548","250","262","131","505","183"
"1400000US41019090000","Census Tract 900, Douglas County, Oregon","2778","165","2611","194","21","33","2435","196","155","97","167","86"
"1400000US41019130000","Census Tract 1300, Douglas County, Oregon","2345","178","2109","201","18","30","2006","199","85","68","236","111"
"1400000US41019170000","Census Tract 1700, Douglas County, Oregon","1371","117","1252","127","48","48","979","120","225","86","119","52"
"1400000US41019030000","Census Tract 300, Douglas County, Oregon","1594","99","1394","97","39","23","1278","98","77","30","200","51"
"1400000US41019060000","Census Tract 600, Douglas County, Oregon","1469","113","1349","107","11","16","1204","117","134","74","120","63"
"1400000US41019070000","Census Tract 700, Douglas County, Oregon","1931","197","1786","186","18","28","1613","184","155","93","145","73"
"1400000US41019200000","Census Tract 2000, Douglas County, Oregon","2061","122","1734","128","21","18","1433","142","280","87","327","103"
"1400000US41023960200","Census Tract 9602, Grant County, Oregon","2483","138","2133","141","19","23","1947","145","167","55","350","69"
"1400000US41067032410","Census Tract 324.10, Washington County, Oregon","1377","68","1252","97","7","11","1042","121","203","91","125","73"
"1400000US41067032501","Census Tract 325.01, Washington County, Oregon","949","70","836","84","0","12","652","86","184","67","113","62"
"1400000US41067032502","Census Tract 325.02, Washington County, Oregon","1083","70","1032","68","0","12","782","105","250","90","51","34"
"1400000US41067032503","Census Tract 325.03, Washington County, Oregon","1353","44","1314","58","0","12","1216","82","98","60","39","31"
"1400000US41067032607","Census Tract 326.07, Washington County, Oregon","2583","171","2575","170","0","12","2335","199","240","105","8","14"
"1400000US41067032608","Census Tract 326.08, Washington County, Oregon","1020","59","1010","61","0","12","941","68","69","38","10","12"
"1400000US41067032609","Census Tract 326.09, Washington County, Oregon","955","37","930","48","0","12","887","61","43","36","25","31"
