"GEO_ID","NAME","B28005_001E","B28005_001M","B28005_002E","B28005_002M","B28005_003E","B28005_003M","B28005_004E","B28005_004M","B28005_005E","B28005_005M","B28005_006E","B28005_006M","B28005_007E","B28005_007M","B28005_008E","B28005_008M","B28005_009E","B28005_009M","B28005_010E","B28005_010M","B28005_011E","B28005_011M","B28005_012E","B28005_012M","B28005_013E","B28005_013M","B28005_014E","B28005_014M","B28005_015E","B28005_015M","B28005_016E","B28005_016M","B28005_017E","B28005_017M","B28005_018E","B28005_018M","B28005_019E","B28005_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under 18 years","Margin of Error!!Total!!Under 18 years","Estimate!!Total!!Under 18 years!!Has a computer","Margin of Error!!Total!!Under 18 years!!Has a computer","Estimate!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Under 18 years!!No computer","Margin of Error!!Total!!Under 18 years!!No computer","Estimate!!Total!!18 to 64 years","Margin of Error!!Total!!18 to 64 years","Estimate!!Total!!18 to 64 years!!Has a computer","Margin of Error!!Total!!18 to 64 years!!Has a computer","Estimate!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!18 to 64 years!!No computer","Margin of Error!!Total!!18 to 64 years!!No computer","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over","Estimate!!Total!!65 years and over!!Has a computer","Margin of Error!!Total!!65 years and over!!Has a computer","Estimate!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Estimate!!Total!!65 years and over!!No computer","Margin of Error!!Total!!65 years and over!!No computer"
"1400000US41019150000","Census Tract 1500, Douglas County, Oregon","7498","574","1373","311","1373","311","0","17","1168","295","205","224","0","17","4879","378","4656","405","14","24","4220","450","422","244","223","161","1246","218","894","218","0","17","834","218","60","71","352","195"
"1400000US41019210000","Census Tract 2100, Douglas County, Oregon","4247","335","478","106","450","100","2","3","411","110","37","39","28","25","2579","267","2349","271","32","37","1884","291","433","224","230","75","1190","140","881","172","0","12","737","167","144","66","309","180"
"1400000US41019010000","Census Tract 100, Douglas County, Oregon","2368","253","422","143","422","143","0","12","314","58","108","135","0","12","1298","231","1189","231","5","8","1056","229","128","88","109","79","648","137","565","134","6","9","491","126","68","49","83","49"
"1400000US41019040000","Census Tract 400, Douglas County, Oregon","2483","254","402","114","402","114","16","27","349","114","37","38","0","12","1221","178","1145","174","53","58","990","155","102","75","76","38","860","114","664","112","20","32","593","115","51","42","196","73"
"1400000US41019050002","Census Tract 500.02, Douglas County, Oregon","6825","327","1448","271","1435","278","0","17","1252","256","183","161","13","29","3941","226","3774","217","0","17","3525","235","249","118","167","123","1436","220","1125","230","29","47","952","233","144","89","311","128"
"1400000US41019100000","Census Tract 1000, Douglas County, Oregon","2696","375","476","172","476","172","0","12","423","154","53","64","0","12","1603","265","1550","265","0","12","1365","253","185","124","53","52","617","160","521","153","20","32","457","150","44","39","96","77"
"1400000US41019120000","Census Tract 1200, Douglas County, Oregon","7285","498","1502","253","1470","255","0","17","1310","251","160","191","32","54","4473","381","4249","392","32","36","3887","415","330","206","224","117","1310","233","820","213","31","48","630","193","159","110","490","199"
"1400000US41019090000","Census Tract 900, Douglas County, Oregon","6706","561","1461","336","1448","337","0","17","1380","327","68","106","13","24","3640","366","3602","364","0","17","3371","376","231","162","38","46","1605","224","1464","247","41","63","1330","219","93","93","141","81"
"1400000US41019130000","Census Tract 1300, Douglas County, Oregon","5014","468","849","312","849","312","0","17","826","305","23","28","0","17","3055","319","3039","323","0","17","2938","304","101","92","16","25","1110","155","788","159","18","30","752","162","18","29","322","186"
