"GEO_ID","id",
"NAME","Geographic Area Name",
"B28005_001E","Estimate!!Total",
"B28005_001M","Margin of Error!!Total",
"B28005_002E","Estimate!!Total!!Under 18 years",
"B28005_002M","Margin of Error!!Total!!Under 18 years",
"B28005_003E","Estimate!!Total!!Under 18 years!!Has a computer",
"B28005_003M","Margin of Error!!Total!!Under 18 years!!Has a computer",
"B28005_004E","Estimate!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone",
"B28005_004M","Margin of Error!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone",
"B28005_005E","Estimate!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription",
"B28005_005M","Margin of Error!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription",
"B28005_006E","Estimate!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription",
"B28005_006M","Margin of Error!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription",
"B28005_007E","Estimate!!Total!!Under 18 years!!No computer",
"B28005_007M","Margin of Error!!Total!!Under 18 years!!No computer",
"B28005_008E","Estimate!!Total!!18 to 64 years",
"B28005_008M","Margin of Error!!Total!!18 to 64 years",
"B28005_009E","Estimate!!Total!!18 to 64 years!!Has a computer",
"B28005_009M","Margin of Error!!Total!!18 to 64 years!!Has a computer",
"B28005_010E","Estimate!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone",
"B28005_010M","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone",
"B28005_011E","Estimate!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription",
"B28005_011M","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription",
"B28005_012E","Estimate!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription",
"B28005_012M","Margin of Error!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription",
"B28005_013E","Estimate!!Total!!18 to 64 years!!No computer",
"B28005_013M","Margin of Error!!Total!!18 to 64 years!!No computer",
"B28005_014E","Estimate!!Total!!65 years and over",
"B28005_014M","Margin of Error!!Total!!65 years and over",
"B28005_015E","Estimate!!Total!!65 years and over!!Has a computer",
"B28005_015M","Margin of Error!!Total!!65 years and over!!Has a computer",
"B28005_016E","Estimate!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone",
"B28005_016M","Margin of Error!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone",
"B28005_017E","Estimate!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription",
"B28005_017M","Margin of Error!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription",
"B28005_018E","Estimate!!Total!!65 years and over!!Has a computer!!Without an Internet subscription",
"B28005_018M","Margin of Error!!Total!!65 years and over!!Has a computer!!Without an Internet subscription",
"B28005_019E","Estimate!!Total!!65 years and over!!No computer",
"B28005_019M","Margin of Error!!Total!!65 years and over!!No computer",
