"GEO_ID","NAME","B28007_001E","B28007_001M","B28007_002E","B28007_002M","B28007_003E","B28007_003M","B28007_004E","B28007_004M","B28007_005E","B28007_005M","B28007_006E","B28007_006M","B28007_007E","B28007_007M","B28007_008E","B28007_008M","B28007_009E","B28007_009M","B28007_010E","B28007_010M","B28007_011E","B28007_011M","B28007_012E","B28007_012M","B28007_013E","B28007_013M","B28007_014E","B28007_014M","B28007_015E","B28007_015M","B28007_016E","B28007_016M","B28007_017E","B28007_017M","B28007_018E","B28007_018M","B28007_019E","B28007_019M","B28007_020E","B28007_020M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In the civilian labor force","Margin of Error!!Total!!In the civilian labor force","Estimate!!Total!!In the civilian labor force!!Employed","Margin of Error!!Total!!In the civilian labor force!!Employed","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!In the civilian labor force!!Employed!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!In the civilian labor force!!Employed!!Has a computer!!Without an Internet subscription","Estimate!!Total!!In the civilian labor force!!Employed!!No computer","Margin of Error!!Total!!In the civilian labor force!!Employed!!No computer","Estimate!!Total!!In the civilian labor force!!Unemployed","Margin of Error!!Total!!In the civilian labor force!!Unemployed","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!Has a computer!!Without an Internet subscription","Estimate!!Total!!In the civilian labor force!!Unemployed!!No computer","Margin of Error!!Total!!In the civilian labor force!!Unemployed!!No computer","Estimate!!Total!!Not in labor force","Margin of Error!!Total!!Not in labor force","Estimate!!Total!!Not in labor force!!Has a computer","Margin of Error!!Total!!Not in labor force!!Has a computer","Estimate!!Total!!Not in labor force!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Not in labor force!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Not in labor force!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Not in labor force!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Not in labor force!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Not in labor force!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Not in labor force!!No computer","Margin of Error!!Total!!Not in labor force!!No computer"
"1400000US41019150000","Census Tract 1500, Douglas County, Oregon","6257","465","3422","404","3111","383","3042","373","14","24","2797","411","231","147","69","66","311","162","242","146","0","17","109","70","133","133","69","83","2835","449","2398","441","0","17","2280","435","118","75","437","277"
"1400000US41019210000","Census Tract 2100, Douglas County, Oregon","3819","296","1673","257","1421","217","1354","218","26","36","1125","219","203","106","67","36","252","119","216","110","4","6","151","100","61","48","36","30","2146","232","1710","230","2","3","1386","218","322","135","436","187"
"1400000US41019010000","Census Tract 100, Douglas County, Oregon","1968","200","1001","199","940","178","861","170","3","4","776","162","82","59","79","80","61","64","61","64","0","12","53","63","8","12","0","12","967","139","854","141","8","10","740","131","106","63","113","56"
"1400000US41019040000","Census Tract 400, Douglas County, Oregon","2130","202","904","170","848","169","817","163","43","46","697","160","77","68","31","21","56","34","43","26","10","16","33","25","0","12","13","21","1226","123","998","128","20","32","902","125","76","63","228","82"
"1400000US41019050002","Census Tract 500.02, Douglas County, Oregon","5568","295","3025","295","2878","304","2731","291","0","17","2571","303","160","84","147","114","147","99","147","99","0","17","147","99","0","17","0","17","2543","310","2212","320","29","47","1930","297","253","124","331","166"
"1400000US41019100000","Census Tract 1000, Douglas County, Oregon","2278","296","1101","194","976","187","940","181","0","12","801","184","139","105","36","48","125","65","116","63","0","12","104","63","12","19","9","14","1177","234","1073","228","20","32","959","229","94","63","104","80"
"1400000US41019120000","Census Tract 1200, Douglas County, Oregon","5879","364","3371","392","3179","407","3027","405","18","28","2800","401","209","154","152","88","192","99","192","99","0","17","192","99","0","17","0","17","2508","407","1946","344","45","53","1621","374","280","137","562","248"
"1400000US41019090000","Census Tract 900, Douglas County, Oregon","5544","452","3085","387","2838","348","2810","346","0","17","2616","349","194","152","28","32","247","124","247","124","0","17","247","124","0","17","0","17","2459","311","2295","323","41","63","2124","310","130","105","164","91"
"1400000US41019130000","Census Tract 1300, Douglas County, Oregon","4235","335","2428","295","2220","297","2181","299","0","17","2115","293","66","73","39","45","208","115","208","115","0","17","202","114","6","12","0","17","1807","251","1508","268","18","30","1443","270","47","42","299","175"
