"GEO_ID","NAME","B28008_001E","B28008_001M","B28008_002E","B28008_002M","B28008_003E","B28008_003M","B28008_004E","B28008_004M","B28008_005E","B28008_005M","B28008_006E","B28008_006M","B28008_007E","B28008_007M","B28008_008E","B28008_008M","B28008_009E","B28008_009M","B28008_010E","B28008_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband subscription","Margin of Error!!Total!!Has a computer!!With a broadband subscription","Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription","Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!With a cellular data plan","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!With a cellular data plan","Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!Without a cellular data plan","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!Without a cellular data plan","Estimate!!Total!!Has a computer!!With a broadband subscription!!Cellular data plan alone or with dial-up","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!Cellular data plan alone or with dial-up","Estimate!!Total!!Has a computer!!Without Internet subscription","Margin of Error!!Total!!Has a computer!!Without Internet subscription","Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer"
"1400000US41019150000","Census Tract 1500, Douglas County, Oregon","7498","574","6923","602","14","24","6222","665","5579","709","3873","589","1706","537","643","325","687","394","575","327"
"1400000US41019210000","Census Tract 2100, Douglas County, Oregon","4247","335","3680","374","34","38","3032","386","2788","374","1506","338","1282","246","244","108","614","258","567","203"
"1400000US41019010000","Census Tract 100, Douglas County, Oregon","2368","253","2176","267","11","13","1861","224","1273","262","773","295","500","170","588","264","304","217","192","93"
"1400000US41019040000","Census Tract 400, Douglas County, Oregon","2483","254","2211","260","89","83","1932","242","1610","246","986","180","624","181","322","134","190","117","272","96"
"1400000US41019050002","Census Tract 500.02, Douglas County, Oregon","6825","327","6334","369","29","47","5729","404","4748","583","3239","632","1509","416","981","493","576","273","491","203"
"1400000US41019100000","Census Tract 1000, Douglas County, Oregon","2696","375","2547","384","20","32","2245","369","1649","320","966","286","683","251","596","287","282","156","149","92"
"1400000US41019120000","Census Tract 1200, Douglas County, Oregon","7285","498","6539","491","63","61","5827","526","5179","536","3716","559","1463","502","648","341","649","386","746","256"
"1400000US41019090000","Census Tract 900, Douglas County, Oregon","6706","561","6514","585","41","63","6081","594","5251","632","3594","647","1657","460","830","389","392","280","192","104"
"1400000US41019130000","Census Tract 1300, Douglas County, Oregon","5014","468","4676","528","18","30","4516","502","3908","541","2596","554","1312","431","608","410","142","116","338","187"
"1400000US41019170000","Census Tract 1700, Douglas County, Oregon","3632","287","3385","331","121","118","2668","332","2160","354","1688","357","472","161","508","215","596","253","247","166"
"1400000US41019030000","Census Tract 300, Douglas County, Oregon","3675","283","3388","284","75","49","3156","288","2823","283","1633","256","1190","258","333","115","157","60","287","79"
"1400000US41019060000","Census Tract 600, Douglas County, Oregon","3699","327","3478","328","11","16","3229","339","3098","335","2098","353","1000","266","131","101","238","138","221","126"
"1400000US41019070000","Census Tract 700, Douglas County, Oregon","4761","391","4522","383","18","28","4270","401","3539","424","2489","427","1050","305","731","320","234","140","239","121"
"1400000US41019200000","Census Tract 2000, Douglas County, Oregon","5109","430","4623","431","42","36","3847","504","3082","450","2016","386","1066","250","765","254","734","259","486","185"
"1400000US41023960200","Census Tract 9602, Grant County, Oregon","5343","203","4834","218","38","45","4498","238","3958","264","2478","298","1480","273","540","185","298","91","509","131"
"1400000US41067032410","Census Tract 324.10, Washington County, Oregon","4496","443","4371","459","31","47","3521","527","3222","526","2719","590","503","225","299","173","819","416","125","73"
"1400000US41067032501","Census Tract 325.01, Washington County, Oregon","2696","282","2560","282","0","12","2168","280","1693","340","1261","307","432","197","475","258","392","158","136","72"
"1400000US41067032502","Census Tract 325.02, Washington County, Oregon","3068","308","2986","307","0","12","2220","436","1996","330","1396","311","600","230","224","225","766","329","82","59"
"1400000US41067032503","Census Tract 325.03, Washington County, Oregon","3934","265","3855","291","0","12","3710","318","3431","321","2853","375","578","214","279","164","145","101","79","77"
"1400000US41067032607","Census Tract 326.07, Washington County, Oregon","4588","341","4580","340","0","12","4135","384","3856","416","3068","414","788","230","279","169","445","204","8","14"
"1400000US41067032608","Census Tract 326.08, Washington County, Oregon","2436","177","2420","178","0","12","2325","189","2163","202","1711","217","452","155","162","93","95","60","16","18"
"1400000US41067032609","Census Tract 326.09, Washington County, Oregon","2484","181","2438","186","0","12","2280","204","2199","229","1828","231","371","137","81","76","158","123","46","63"
"1400000US41067032610","Census Tract 326.10, Washington County, Oregon","3061","231","3000","243","0","12","2696","270","2342","280","1761","285","581","179","354","220","304","227","61","59"
"1400000US41067033101","Census Tract 331.01, Washington County, Oregon","2866","284","2784","295","8","14","2498","367","2126","305","1584","319","542","194","372","226","278","187","82","48"
"1400000US41067033102","Census Tract 331.02, Washington County, Oregon","3506","469","3279","534","6","11","3098","534","3010","532","1972","403","1038","609","88","64","175","182","227","108"
"1400000US41067033301","Census Tract 333.01, Washington County, Oregon","6082","394","5837","443","0","17","5109","531","4841","516","3622","507","1219","348","268","137","728","466","245","221"
"1400000US41067033302","Census Tract 333.02, Washington County, Oregon","5725","317","5616","347","61","58","5348","339","4833","384","3850","404","983","261","515","237","207","193","109","116"
"1400000US41069960100","Census Tract 9601, Wheeler County, Oregon","1409","125","1242","132","5","5","1108","132","1027","133","430","111","597","82","81","49","129","51","167","40"
"1400000US41071030101","Census Tract 301.01, Yamhill County, Oregon","6128","444","5859","415","0","17","5644","435","5337","427","4042","473","1295","414","307","198","215","157","269","216"
"1400000US41071030102","Census Tract 301.02, Yamhill County, Oregon","7760","571","7535","589","44","52","7277","616","6710","636","5398","634","1312","438","567","378","214","193","225","129"
"1400000US41071030301","Census Tract 303.01, Yamhill County, Oregon","10054","595","9796","600","31","41","8969","697","8130","778","6606","771","1524","388","839","368","796","326","258","157"
"1400000US41071030302","Census Tract 303.02, Yamhill County, Oregon","2100","183","2083","184","68","61","1921","204","1643","190","1285","189","358","128","278","116","94","68","17","21"
"1400000US41003010600","Census Tract 106, Benton County, Oregon","3089","438","3089","438","12","19","2468","426","2373","439","2010","462","363","206","95","70","609","292","0","17"
"1400000US41071030601","Census Tract 306.01, Yamhill County, Oregon","3486","225","3205","246","119","117","2950","287","2840","283","2123","280","717","251","110","118","136","74","281","86"
"1400000US41071030602","Census Tract 306.02, Yamhill County, Oregon","6003","514","5669","576","0","17","5504","564","4914","651","3205","632","1709","498","590","310","165","182","334","241"
"1400000US41003000202","Census Tract 2.02, Benton County, Oregon","5104","330","4962","333","0","17","4849","355","4614","371","3970","416","644","233","235","144","113","147","142","84"
"1400000US41003010702","Census Tract 107.02, Benton County, Oregon","2491","331","2458","329","18","21","2203","323","2077","324","1721","299","356","118","126","68","237","155","33","21"
"1400000US41003010800","Census Tract 108, Benton County, Oregon","3518","280","3310","306","0","12","3112","307","2927","302","2392","378","535","206","185","96","198","156","208","121"
"1400000US41003010900","Census Tract 109, Benton County, Oregon","5089","347","4970","353","28","32","4859","351","4520","316","3424","387","1096","264","339","332","83","77","119","66"
"1400000US41023960100","Census Tract 9601, Grant County, Oregon","1651","191","1401","185","0","12","1190","175","1028","172","494","145","534","125","162","70","211","100","250","59"
"1400000US41031960100","Census Tract 9601, Jefferson County, Oregon","1555","257","1527","259","0","12","1302","281","1003","291","580","235","423","159","299","154","225","167","28","22"
"1400000US41053005202","Census Tract 52.02, Polk County, Oregon","9957","619","9639","599","0","19","9243","658","8578","682","6214","746","2364","688","665","316","396","304","318","150"
"1400000US41039001002","Census Tract 10.02, Lane County, Oregon","3754","304","3515","286","31","35","2949","321","2200","335","1514","318","686","188","749","278","535","198","239","106"
"1400000US41039001804","Census Tract 18.04, Lane County, Oregon","3798","239","3680","260","0","12","3604","288","3272","281","2607","348","665","221","332","194","76","91","118","76"
"1400000US41039001902","Census Tract 19.02, Lane County, Oregon","6526","449","6311","466","0","17","5944","517","5446","533","4311","647","1135","417","498","313","367","219","215","141"
"1400000US41039002201","Census Tract 22.01, Lane County, Oregon","3628","298","3514","314","28","26","3399","342","2995","373","2327","354","668","176","404","272","87","51","114","67"
"1400000US41039000404","Census Tract 4.04, Lane County, Oregon","3885","355","3710","355","29","35","3342","402","2702","524","1787","383","915","382","640","282","339","196","175","89"
"1400000US41039000702","Census Tract 7.02, Lane County, Oregon","2496","254","2341","270","55","52","2119","288","1980","279","1259","303","721","166","139","68","167","76","155","91"
"1400000US41039000902","Census Tract 9.02, Lane County, Oregon","4775","424","4457","436","144","130","4026","453","3529","483","2305","464","1224","442","497","204","287","137","318","117"
