"GEO_ID","NAME","B99283_001E","B99283_002E","B99283_003E","B99283_004E","B99283_005E"
"id","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Allocated!!Dial-up","Estimate!!Total!!Allocated!!Broadband such as cable, fiberoptic, or DSL, satellite, and other service","Estimate!!Total!!Allocated!!Cellular data plan","Estimate!!Total!!Not allocated"
"1400000US41019150000","Census Tract 1500, Douglas County, Oregon","2822","14","14","232","2590"
"1400000US41019210000","Census Tract 2100, Douglas County, Oregon","1949","26","26","209","1731"
"1400000US41019010000","Census Tract 100, Douglas County, Oregon","1064","18","18","118","946"
"1400000US41019040000","Census Tract 400, Douglas County, Oregon","1139","73","73","161","968"
"1400000US41019050002","Census Tract 500.02, Douglas County, Oregon","2823","221","221","475","2309"
"1400000US41019100000","Census Tract 1000, Douglas County, Oregon","1180","5","5","127","1048"
"1400000US41019120000","Census Tract 1200, Douglas County, Oregon","3362","139","139","592","2753"
"1400000US41019090000","Census Tract 900, Douglas County, Oregon","2778","130","130","560","2199"
"1400000US41019130000","Census Tract 1300, Douglas County, Oregon","2345","73","73","378","1967"
"1400000US41019170000","Census Tract 1700, Douglas County, Oregon","1371","27","27","166","1203"
"1400000US41019030000","Census Tract 300, Douglas County, Oregon","1594","68","68","184","1400"
"1400000US41019060000","Census Tract 600, Douglas County, Oregon","1469","19","19","272","1197"
"1400000US41019070000","Census Tract 700, Douglas County, Oregon","1931","49","49","329","1593"
"1400000US41019200000","Census Tract 2000, Douglas County, Oregon","2061","88","88","152","1895"
"1400000US41023960200","Census Tract 9602, Grant County, Oregon","2483","68","68","231","2232"
"1400000US41067032410","Census Tract 324.10, Washington County, Oregon","1377","0","0","103","1274"
"1400000US41067032501","Census Tract 325.01, Washington County, Oregon","949","4","4","53","892"
"1400000US41067032502","Census Tract 325.02, Washington County, Oregon","1083","12","12","102","981"
"1400000US41067032503","Census Tract 325.03, Washington County, Oregon","1353","17","17","173","1163"
"1400000US41067032607","Census Tract 326.07, Washington County, Oregon","2583","54","54","265","2284"
"1400000US41067032608","Census Tract 326.08, Washington County, Oregon","1020","17","17","162","858"
"1400000US41067032609","Census Tract 326.09, Washington County, Oregon","955","8","8","139","816"
"1400000US41067032610","Census Tract 326.10, Washington County, Oregon","967","17","17","100","856"
"1400000US41067033101","Census Tract 331.01, Washington County, Oregon","1168","0","0","153","1015"
"1400000US41067033102","Census Tract 331.02, Washington County, Oregon","1218","24","24","120","1088"
"1400000US41067033301","Census Tract 333.01, Washington County, Oregon","2098","22","22","137","1952"
"1400000US41067033302","Census Tract 333.02, Washington County, Oregon","1921","114","121","325","1582"
"1400000US41069960100","Census Tract 9601, Wheeler County, Oregon","661","28","28","55","592"
"1400000US41071030101","Census Tract 301.01, Yamhill County, Oregon","2173","41","41","349","1805"
"1400000US41071030102","Census Tract 301.02, Yamhill County, Oregon","2968","81","81","548","2402"
"1400000US41071030301","Census Tract 303.01, Yamhill County, Oregon","3310","133","145","472","2811"
"1400000US41071030302","Census Tract 303.02, Yamhill County, Oregon","760","38","38","147","609"
"1400000US41003010600","Census Tract 106, Benton County, Oregon","1713","77","77","204","1485"
"1400000US41071030601","Census Tract 306.01, Yamhill County, Oregon","1378","56","56","161","1181"
"1400000US41071030602","Census Tract 306.02, Yamhill County, Oregon","2346","72","72","359","1945"
"1400000US41003000202","Census Tract 2.02, Benton County, Oregon","2217","0","0","237","1980"
"1400000US41003010702","Census Tract 107.02, Benton County, Oregon","1090","30","30","115","965"
"1400000US41003010800","Census Tract 108, Benton County, Oregon","1341","31","31","191","1150"
"1400000US41003010900","Census Tract 109, Benton County, Oregon","2097","41","41","372","1725"
"1400000US41023960100","Census Tract 9601, Grant County, Oregon","811","16","16","51","759"
"1400000US41031960100","Census Tract 9601, Jefferson County, Oregon","575","3","3","70","505"
"1400000US41053005202","Census Tract 52.02, Polk County, Oregon","3814","42","42","431","3369"
"1400000US41039001002","Census Tract 10.02, Lane County, Oregon","1677","36","36","145","1532"
"1400000US41039001804","Census Tract 18.04, Lane County, Oregon","1366","19","19","176","1180"
"1400000US41039001902","Census Tract 19.02, Lane County, Oregon","2394","56","56","265","2112"
"1400000US41039002201","Census Tract 22.01, Lane County, Oregon","1638","41","41","234","1404"
"1400000US41039000404","Census Tract 4.04, Lane County, Oregon","1467","39","39","134","1323"
"1400000US41039000702","Census Tract 7.02, Lane County, Oregon","1126","19","19","199","908"
"1400000US41039000902","Census Tract 9.02, Lane County, Oregon","1791","14","14","214","1577"
"1400000US41039001201","Census Tract 12.01, Lane County, Oregon","1433","39","39","155","1266"
"1400000US41039003102","Census Tract 31.02, Lane County, Oregon","3459","80","80","314","3145"
"1400000US41039003700","Census Tract 37, Lane County, Oregon","706","0","0","38","668"
"1400000US41039005200","Census Tract 52, Lane County, Oregon","1030","37","37","185","838"
"1400000US41039003500","Census Tract 35, Lane County, Oregon","1613","40","40","280","1323"
"1400000US41039003600","Census Tract 36, Lane County, Oregon","1631","58","58","156","1466"
"1400000US41039001301","Census Tract 13.01, Lane County, Oregon","1397","17","17","128","1262"
"1400000US41039001803","Census Tract 18.03, Lane County, Oregon","1676","25","25","189","1487"
"1400000US41039001904","Census Tract 19.04, Lane County, Oregon","2303","12","12","209","2094"
"1400000US41039002001","Census Tract 20.01, Lane County, Oregon","1444","28","28","204","1227"
"1400000US41071030501","Census Tract 305.01, Yamhill County, Oregon","1755","59","59","234","1521"
"1400000US41071030702","Census Tract 307.02, Yamhill County, Oregon","2864","86","86","453","2389"
"1400000US41071031000","Census Tract 310, Yamhill County, Oregon","1419","16","16","140","1279"
"1400000US41071030201","Census Tract 302.01, Yamhill County, Oregon","2098","65","65","210","1888"
"1400000US41005020403","Census Tract 204.03, Clackamas County, Oregon","1319","20","20","183","1116"
"1400000US41005020404","Census Tract 204.04, Clackamas County, Oregon","1456","32","32","158","1289"
"1400000US41005020504","Census Tract 205.04, Clackamas County, Oregon","2560","235","235","514","1957"
"1400000US41005020505","Census Tract 205.05, Clackamas County, Oregon","1173","54","54","318","855"
"1400000US41005022105","Census Tract 221.05, Clackamas County, Oregon","2251","44","44","246","2005"
"1400000US41005022107","Census Tract 221.07, Clackamas County, Oregon","1822","76","76","318","1504"
"1400000US41005022108","Census Tract 221.08, Clackamas County, Oregon","1381","140","140","275","1106"
"1400000US41005022205","Census Tract 222.05, Clackamas County, Oregon","1424","31","31","257","1167"
"1400000US41005022206","Census Tract 222.06, Clackamas County, Oregon","2491","107","107","479","1993"
"1400000US41005022207","Census Tract 222.07, Clackamas County, Oregon","1971","57","57","312","1636"
"1400000US41005022208","Census Tract 222.08, Clackamas County, Oregon","2391","85","85","371","2013"
"1400000US41005022301","Census Tract 223.01, Clackamas County, Oregon","1536","82","82","287","1249"
"1400000US41005022302","Census Tract 223.02, Clackamas County, Oregon","2071","158","158","509","1562"
"1400000US41005022603","Census Tract 226.03, Clackamas County, Oregon","1438","50","50","218","1220"
"1400000US41005022605","Census Tract 226.05, Clackamas County, Oregon","2649","52","52","368","2253"
"1400000US41005022710","Census Tract 227.10, Clackamas County, Oregon","1131","22","22","143","981"
"1400000US41005022606","Census Tract 226.06, Clackamas County, Oregon","1818","69","69","280","1538"
"1400000US41005022707","Census Tract 227.07, Clackamas County, Oregon","2413","15","15","326","2087"
"1400000US41005022708","Census Tract 227.08, Clackamas County, Oregon","1518","36","36","225","1293"
"1400000US41005022904","Census Tract 229.04, Clackamas County, Oregon","1376","21","21","172","1193"
"1400000US41005022905","Census Tract 229.05, Clackamas County, Oregon","1625","16","16","205","1420"
"1400000US41005022906","Census Tract 229.06, Clackamas County, Oregon","1226","95","95","194","1022"
