DBA Name,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),state,Region,CountServiceAvailablebyRegionAndCompany
"600Amps Internet Services, Inc.",100,100,Oregon,southwest,3
"Alyrica Networks, Inc.",20,5,Oregon,northwest,16
"Alyrica Networks, Inc.",40,5,Oregon,northwest,150
"Alyrica Networks, Inc.",1000,1000,Oregon,northwest,1
Azure Standard,6,2,Oregon,east,1
Azure Standard,25,10,Oregon,east,1
Azure Standard,40,10,Oregon,east,1
Beavercreek Cooperative Telephone Company,15,1,Oregon,northwest,10
Beavercreek Cooperative Telephone Company,20,5,Oregon,northwest,4
Beavercreek Cooperative Telephone Company,100,5,Oregon,northwest,7
BendBroadband,100,10,Oregon,east,12
BendBroadband,600,20,Oregon,east,52
BendBroadband,600,20,Oregon,southwest,2
"Blackfoot Communications, Inc.",3,3,Oregon,northwest,1
"Blackfoot Communications, Inc.",5,5,Oregon,northwest,1
"Blackfoot Communications, Inc.",10,10,Oregon,east,3
"Blackfoot Communications, Inc.",10,10,Oregon,northwest,2
"Blackfoot Communications, Inc.",10,10,Oregon,southwest,1
"Blackfoot Communications, Inc.",20,20,Oregon,northwest,1
"Blackfoot Communications, Inc.",50,50,Oregon,northwest,1
Blue Mountain Digital,1.5,1.5,Oregon,east,1
Cable ONE,1000,50,Oregon,east,6
Cal-Ore Communications Inc.,1.5,0.768,Oregon,southwest,2
Cal-Ore Communications Inc.,4,1,Oregon,southwest,1
Cal-Ore Communications Inc.,10,1,Oregon,southwest,16
Cal-Ore Communications Inc.,25,3,Oregon,southwest,2
Cal-Ore Communications Inc.,50,4,Oregon,southwest,13
Cascade Utilities,3,1,Oregon,northwest,1
Cascade Utilities,6,1,Oregon,east,4
Cascade Utilities,6,1,Oregon,northwest,6
Cascade Utilities,6,1,Oregon,southwest,2
Cascade Utilities,9,1,Oregon,east,3
Cascade Utilities,9,1,Oregon,northwest,6
Cascade Utilities,9,1,Oregon,southwest,3
Cascade Utilities,12,1,Oregon,east,5
Cascade Utilities,12,1,Oregon,northwest,11
Cascade Utilities,12,1,Oregon,southwest,3
Cascade Utilities,100,50,Oregon,east,2
Cascade Utilities,100,50,Oregon,northwest,9
Cascade Utilities,100,50,Oregon,southwest,3
CenturyLink,0.256,0.128,Oregon,east,2
CenturyLink,0.256,0.128,Oregon,northwest,2
CenturyLink,0.256,0.128,Oregon,southwest,5
CenturyLink,0.256,0.256,Oregon,east,28
CenturyLink,0.256,0.256,Oregon,northwest,159
CenturyLink,0.256,0.256,Oregon,southwest,35
CenturyLink,0.512,0.128,Oregon,east,3
CenturyLink,0.512,0.128,Oregon,northwest,2
CenturyLink,0.512,0.256,Oregon,east,19
CenturyLink,0.512,0.256,Oregon,northwest,26
CenturyLink,0.512,0.256,Oregon,southwest,21
CenturyLink,0.64,0.256,Oregon,northwest,1
CenturyLink,0.768,0.256,Oregon,east,4
CenturyLink,0.768,0.256,Oregon,northwest,17
CenturyLink,0.768,0.256,Oregon,southwest,5
CenturyLink,1.5,0.256,Oregon,east,12
CenturyLink,1.5,0.256,Oregon,northwest,18
CenturyLink,1.5,0.256,Oregon,southwest,17
CenturyLink,1.5,0.512,Oregon,east,30
CenturyLink,1.5,0.512,Oregon,northwest,72
CenturyLink,1.5,0.512,Oregon,southwest,36
CenturyLink,1.5,0.896,Oregon,east,110
CenturyLink,1.5,0.896,Oregon,northwest,476
CenturyLink,1.5,0.896,Oregon,southwest,118
CenturyLink,1.5,1,Oregon,east,5
CenturyLink,1.5,1,Oregon,northwest,100
CenturyLink,1.5,1,Oregon,southwest,2
CenturyLink,3,0.512,Oregon,east,38
CenturyLink,3,0.512,Oregon,northwest,93
CenturyLink,3,0.512,Oregon,southwest,39
CenturyLink,3,0.64,Oregon,east,65
CenturyLink,3,0.64,Oregon,northwest,385
CenturyLink,3,0.64,Oregon,southwest,40
CenturyLink,4,0.512,Oregon,east,9
CenturyLink,4,0.512,Oregon,northwest,30
CenturyLink,4,0.512,Oregon,southwest,12
CenturyLink,4,1,Oregon,east,24
CenturyLink,4,1,Oregon,northwest,97
CenturyLink,4,1,Oregon,southwest,70
CenturyLink,5,0.768,Oregon,east,1
CenturyLink,5,0.768,Oregon,northwest,4
CenturyLink,5,0.768,Oregon,southwest,5
CenturyLink,5,0.896,Oregon,east,62
CenturyLink,5,0.896,Oregon,northwest,295
CenturyLink,5,0.896,Oregon,southwest,66
CenturyLink,6,0.512,Oregon,east,21
CenturyLink,6,0.512,Oregon,northwest,71
CenturyLink,6,0.512,Oregon,southwest,26
CenturyLink,7,0.896,Oregon,east,53
CenturyLink,7,0.896,Oregon,northwest,314
CenturyLink,7,0.896,Oregon,southwest,36
CenturyLink,7,2,Oregon,northwest,4
CenturyLink,7,2,Oregon,southwest,2
CenturyLink,7,5,Oregon,northwest,7
CenturyLink,8,0.768,Oregon,east,18
CenturyLink,8,0.768,Oregon,northwest,36
CenturyLink,8,0.768,Oregon,southwest,16
CenturyLink,10,0.768,Oregon,east,29
