"GEO_ID","NAME","B28004_001E","B28004_001M","B28004_002E","B28004_002M","B28004_003E","B28004_003M","B28004_004E","B28004_004M","B28004_005E","B28004_005M","B28004_006E","B28004_006M","B28004_007E","B28004_007M","B28004_008E","B28004_008M","B28004_009E","B28004_009M","B28004_010E","B28004_010M","B28004_011E","B28004_011M","B28004_012E","B28004_012M","B28004_013E","B28004_013M","B28004_014E","B28004_014M","B28004_015E","B28004_015M","B28004_016E","B28004_016M","B28004_017E","B28004_017M","B28004_018E","B28004_018M","B28004_019E","B28004_019M","B28004_020E","B28004_020M","B28004_021E","B28004_021M","B28004_022E","B28004_022M","B28004_023E","B28004_023M","B28004_024E","B28004_024M","B28004_025E","B28004_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!Less than $10,000!!With dial-up Internet subscription alone","Margin of Error!!Total!!Less than $10,000!!With dial-up Internet subscription alone","Estimate!!Total!!Less than $10,000!!With a broadband Internet subscription","Margin of Error!!Total!!Less than $10,000!!With a broadband Internet subscription","Estimate!!Total!!Less than $10,000!!Without an Internet subscription","Margin of Error!!Total!!Less than $10,000!!Without an Internet subscription","Estimate!!Total!!$10,000 to $19,999","Margin of Error!!Total!!$10,000 to $19,999","Estimate!!Total!!$10,000 to $19,999!!With dial-up Internet subscription alone","Margin of Error!!Total!!$10,000 to $19,999!!With dial-up Internet subscription alone","Estimate!!Total!!$10,000 to $19,999!!With a broadband Internet subscription","Margin of Error!!Total!!$10,000 to $19,999!!With a broadband Internet subscription","Estimate!!Total!!$10,000 to $19,999!!Without an Internet subscription","Margin of Error!!Total!!$10,000 to $19,999!!Without an Internet subscription","Estimate!!Total!!$20,000 to $34,999","Margin of Error!!Total!!$20,000 to $34,999","Estimate!!Total!!$20,000 to $34,999!!With dial-up Internet subscription alone","Margin of Error!!Total!!$20,000 to $34,999!!With dial-up Internet subscription alone","Estimate!!Total!!$20,000 to $34,999!!With a broadband Internet subscription","Margin of Error!!Total!!$20,000 to $34,999!!With a broadband Internet subscription","Estimate!!Total!!$20,000 to $34,999!!Without an Internet subscription","Margin of Error!!Total!!$20,000 to $34,999!!Without an Internet subscription","Estimate!!Total!!$35,000 to $49,999","Margin of Error!!Total!!$35,000 to $49,999","Estimate!!Total!!$35,000 to $49,999!!With dial-up Internet subscription alone","Margin of Error!!Total!!$35,000 to $49,999!!With dial-up Internet subscription alone","Estimate!!Total!!$35,000 to $49,999!!With a broadband Internet subscription","Margin of Error!!Total!!$35,000 to $49,999!!With a broadband Internet subscription","Estimate!!Total!!$35,000 to $49,999!!Without an Internet subscription","Margin of Error!!Total!!$35,000 to $49,999!!Without an Internet subscription","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Total!!$50,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Total!!$50,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Total!!$50,000 to $74,999!!With a broadband Internet subscription","Estimate!!Total!!$50,000 to $74,999!!Without an Internet subscription","Margin of Error!!Total!!$50,000 to $74,999!!Without an Internet subscription","Estimate!!Total!!$75,000 or more","Margin of Error!!Total!!$75,000 or more","Estimate!!Total!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Total!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Total!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Total!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Total!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Total!!$75,000 or more!!Without an Internet subscription"
"1400000US41019150000","Census Tract 1500, Douglas County, Oregon","2822","160","107","80","0","17","57","51","50","63","276","135","0","17","259","129","17","29","474","166","0","17","245","121","229","156","639","192","0","17","506","179","133","79","738","184","14","24","651","169","73","66","588","155","0","17","562","158","26","43"
"1400000US41019210000","Census Tract 2100, Douglas County, Oregon","1949","135","184","81","0","12","120","72","64","37","272","111","0","12","129","68","143","72","440","101","0","12","263","68","177","76","312","93","24","36","212","66","76","62","291","73","2","3","234","65","55","34","450","134","0","12","389","128","61","48"
"1400000US41019010000","Census Tract 100, Douglas County, Oregon","1064","109","30","25","0","12","16","18","14","16","215","80","0","12","127","52","88","54","219","78","6","7","130","50","83","61","209","92","0","12","165","87","44","38","248","83","0","12","212","82","36","34","143","62","0","12","137","63","6","9"
"1400000US41019040000","Census Tract 400, Douglas County, Oregon","1139","91","84","47","0","12","50","40","34","26","86","38","0","12","66","38","20","12","267","86","9","14","216","80","42","27","213","72","10","16","114","49","89","48","265","82","0","12","197","66","68","44","224","72","10","14","211","70","3","5"
"1400000US41019050002","Census Tract 500.02, Douglas County, Oregon","2823","190","372","160","0","17","244","131","128","106","186","104","0","17","129","93","57","47","717","201","0","17","538","170","179","115","422","139","0","17","302","111","120","105","527","153","13","22","418","141","96","64","599","151","0","17","547","139","52","48"
"1400000US41019100000","Census Tract 1000, Douglas County, Oregon","1180","148","29","27","0","12","10","16","19","22","114","63","0","12","41","39","73","58","297","109","10","16","256","105","31","30","156","91","0","12","134","87","22","26","225","101","0","12","195","90","30","47","359","120","0","12","303","108","56","47"
"1400000US41019120000","Census Tract 1200, Douglas County, Oregon","3362","221","122","74","14","22","74","58","34","39","547","168","0","17","329","133","218","131","768","235","33","39","510","200","225","115","582","184","0","17","460","162","122","90","697","199","0","17","596","179","101","66","646","198","0","17","613","193","33","38"
"1400000US41019090000","Census Tract 900, Douglas County, Oregon","2778","165","198","114","0","17","167","101","31","44","346","142","0","17","287","126","59","56","505","158","0","17","378","131","127","86","252","110","0","17","225","104","27","31","576","184","0","17","525","172","51","51","901","207","21","33","853","201","27","43"
"1400000US41019130000","Census Tract 1300, Douglas County, Oregon","2345","178","148","122","0","17","116","129","32","38","372","129","0","17","256","113","116","68","536","180","18","30","430","160","88","76","323","131","0","17","284","128","39","40","474","154","0","17","474","154","0","17","492","165","0","17","446","154","46","52"
