"GEO_ID","id",
"NAME","Geographic Area Name",
"B28008_001E","Estimate!!Total",
"B28008_001M","Margin of Error!!Total",
"B28008_002E","Estimate!!Total!!Has a computer",
"B28008_002M","Margin of Error!!Total!!Has a computer",
"B28008_003E","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone",
"B28008_003M","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone",
"B28008_004E","Estimate!!Total!!Has a computer!!With a broadband subscription",
"B28008_004M","Margin of Error!!Total!!Has a computer!!With a broadband subscription",
"B28008_005E","Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription",
"B28008_005M","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription",
"B28008_006E","Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!With a cellular data plan",
"B28008_006M","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!With a cellular data plan",
"B28008_007E","Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!Without a cellular data plan",
"B28008_007M","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!Without a cellular data plan",
"B28008_008E","Estimate!!Total!!Has a computer!!With a broadband subscription!!Cellular data plan alone or with dial-up",
"B28008_008M","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!Cellular data plan alone or with dial-up",
"B28008_009E","Estimate!!Total!!Has a computer!!Without Internet subscription",
"B28008_009M","Margin of Error!!Total!!Has a computer!!Without Internet subscription",
"B28008_010E","Estimate!!Total!!No Computer",
"B28008_010M","Margin of Error!!Total!!No Computer",
