"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C02_001E","S2801_C02_001M","S2801_C01_002E","S2801_C01_002M","S2801_C02_002E","S2801_C02_002M","S2801_C01_003E","S2801_C01_003M","S2801_C02_003E","S2801_C02_003M","S2801_C01_004E","S2801_C01_004M","S2801_C02_004E","S2801_C02_004M","S2801_C01_005E","S2801_C01_005M","S2801_C02_005E","S2801_C02_005M","S2801_C01_006E","S2801_C01_006M","S2801_C02_006E","S2801_C02_006M","S2801_C01_007E","S2801_C01_007M","S2801_C02_007E","S2801_C02_007M","S2801_C01_008E","S2801_C01_008M","S2801_C02_008E","S2801_C02_008M","S2801_C01_009E","S2801_C01_009M","S2801_C02_009E","S2801_C02_009M","S2801_C01_010E","S2801_C01_010M","S2801_C02_010E","S2801_C02_010M","S2801_C01_011E","S2801_C01_011M","S2801_C02_011E","S2801_C02_011M","S2801_C01_012E","S2801_C01_012M","S2801_C02_012E","S2801_C02_012M","S2801_C01_013E","S2801_C01_013M","S2801_C02_013E","S2801_C02_013M","S2801_C01_014E","S2801_C01_014M","S2801_C02_014E","S2801_C02_014M","S2801_C01_015E","S2801_C01_015M","S2801_C02_015E","S2801_C02_015M","S2801_C01_016E","S2801_C01_016M","S2801_C02_016E","S2801_C02_016M","S2801_C01_017E","S2801_C01_017M","S2801_C02_017E","S2801_C02_017M","S2801_C01_018E","S2801_C01_018M","S2801_C02_018E","S2801_C02_018M","S2801_C01_019E","S2801_C01_019M","S2801_C02_019E","S2801_C02_019M","S2801_C01_020E","S2801_C01_020M","S2801_C02_020E","S2801_C02_020M","S2801_C01_021E","S2801_C01_021M","S2801_C02_021E","S2801_C02_021M","S2801_C01_022E","S2801_C01_022M","S2801_C02_022E","S2801_C02_022M","S2801_C01_023E","S2801_C01_023M","S2801_C02_023E","S2801_C02_023M","S2801_C01_024E","S2801_C01_024M","S2801_C02_024E","S2801_C02_024M","S2801_C01_025E","S2801_C01_025M","S2801_C02_025E","S2801_C02_025M","S2801_C01_026E","S2801_C01_026M","S2801_C02_026E","S2801_C02_026M","S2801_C01_027E","S2801_C01_027M","S2801_C02_027E","S2801_C02_027M","S2801_C01_028E","S2801_C01_028M","S2801_C02_028E","S2801_C02_028M","S2801_C01_029E","S2801_C01_029M","S2801_C02_029E","S2801_C02_029M","S2801_C01_030E","S2801_C01_030M","S2801_C02_030E","S2801_C02_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_031E","S2801_C02_031M"
"id","Geographic Area Name","Estimate!!Total!!Total households","Margin of Error!!Total MOE!!Total households","Estimate!!Percent!!Total households","Margin of Error!!Percent MOE!!Total households","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!No computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Percent!!TYPES OF COMPUTER!!No computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription"
"0500000US41059","Umatilla County, Oregon","26048","1304","(X)","(X)","23525","1377","90.3","3.1","19663","1409","75.5","4.1","976","412","3.7","1.6","21412","1481","82.2","3.4","1723","770","6.6","2.9","16634","1455","63.9","4.7","315","284","1.2","1.1","543","285","2.1","1.1","0","207","0.0","0.7","2523","819","9.7","3.1","21305","1454","81.8","4.1","49","84","0.2","0.3","21256","1434","81.6","4.1","17755","1494","68.2","4.5","2194","772","8.4","2.9","17402","1461","66.8","4.7","2603","742","10.0","2.9","4743","1121","18.2","4.1","4665","1015","(X)","(X)","0","207","0.0","3.7","3013","720","64.6","11.9","1652","739","35.4","11.9","12225","1472","(X)","(X)","49","84","0.4","0.7","9784","1371","80.0","6.2","2392","834","19.6","6.3","9158","1340","(X)","(X)","0","207","0.0","1.9","8459","1261","92.4","4.6","699","440","7.6","4.6"
"0500000US41043","Linn County, Oregon","48464","952","(X)","(X)","45112","1233","93.1","2.1","38094","1568","78.6","3.0","2509","922","5.2","1.9","40738","1415","84.1","2.8","3964","1040","8.2","2.1","29819","1826","61.5","4.0","258","224","0.5","0.5","485","285","1.0","0.6","0","207","0.0","0.4","3352","1007","6.9","2.1","41538","1473","85.7","2.9","257","238","0.5","0.5","41281","1495","85.2","2.9","37628","1542","77.6","3.2","6935","1355","14.3","2.7","30950","2001","63.9","4.1","4105","1087","8.5","2.2","6926","1418","14.3","2.9","6657","1411","(X)","(X)","95","153","1.4","2.3","3644","950","54.7","11.0","2918","1039","43.8","10.9","25914","1884","(X)","(X)","62","97","0.2","0.4","22654","1878","87.4","3.5","3198","918","12.3","3.4","15893","1664","(X)","(X)","100","158","0.6","1.0","14983","1575","94.3","2.6","810","405","5.1","2.4"
"0500000US41039","Lane County, Oregon","156072","1587","(X)","(X)","147852","2086","94.7","0.8","129557","2673","83.0","1.5","9006","1555","5.8","1.0","132240","2723","84.7","1.5","11440","1853","7.3","1.2","97287","2989","62.3","1.7","757","429","0.5","0.3","3609","732","2.3","0.5","0","207","0.0","0.1","8220","1274","5.3","0.8","139460","2475","89.4","1.3","588","278","0.4","0.2","138872","2545","89.0","1.3","124353","2902","79.7","1.6","15090","1884","9.7","1.2","115627","2858","74.1","1.6","10200","1289","6.5","0.8","16612","1998","10.6","1.3","26239","2400","(X)","(X)","218","213","0.8","0.8","19038","1931","72.6","4.3","6983","1331","26.6","4.1","77569","3376","(X)","(X)","298","194","0.4","0.2","69143","3216","89.1","1.8","8128","1436","10.5","1.8","52264","2722","(X)","(X)","72","87","0.1","0.2","50691","2682","97.0","1.1","1501","596","2.9","1.1"
"0500000US41051","Multnomah County, Oregon","330223","3141","(X)","(X)","313993","3854","95.1","0.6","278785","4645","84.4","1.1","9919","1331","3.0","0.4","297293","4021","90.0","0.8","22960","3103","7.0","0.9","215941","4395","65.4","1.2","2099","653","0.6","0.2","6950","1349","2.1","0.4","0","207","0.0","0.1","16230","2135","4.9","0.6","298059","4442","90.3","0.9","454","254","0.1","0.1","297605","4441","90.1","0.9","278096","4688","84.2","1.0","38283","3734","11.6","1.1","252253","4791","76.4","1.3","11277","1725","3.4","0.5","32164","2861","9.7","0.9","43910","3233","(X)","(X)","40","68","0.1","0.2","30598","2978","69.7","3.8","13272","1815","30.2","3.8","128745","4508","(X)","(X)","341","221","0.3","0.2","114962","4385","89.3","1.3","13442","1712","10.4","1.3","157568","4421","(X)","(X)","73","118","0.0","0.1","152045","4461","96.5","0.9","5450","1445","3.5","0.9"
"0500000US41019","Douglas County, Oregon","45647","1374","(X)","(X)","41312","1419","90.5","2.2","36192","1597","79.3","2.9","3827","962","8.4","2.1","35543","1724","77.9","2.8","3129","1051","6.9","2.3","25843","1844","56.6","3.7","242","213","0.5","0.5","633","368","1.4","0.8","0","207","0.0","0.4","4335","1038","9.5","2.2","38447","1544","84.2","2.9","481","340","1.1","0.7","37966","1632","83.2","3.1","32088","1813","70.3","3.4","4104","1095","9.0","2.4","30767","2083","67.4","4.0","4997","1149","10.9","2.5","7200","1382","15.8","2.9","7827","1504","(X)","(X)","138","196","1.8","2.4","5668","1304","72.4","9.0","2021","773","25.8","8.8","25947","1808","(X)","(X)","296","258","1.1","1.0","21140","1640","81.5","3.8","4511","1035","17.4","3.6","11873","1565","(X)","(X)","47","79","0.4","0.7","11158","1531","94.0","3.7","668","419","5.6","3.5"
"0500000US41005","Clackamas County, Oregon","158749","1775","(X)","(X)","151173","2015","95.2","1.0","139470","2585","87.9","1.5","8190","1365","5.2","0.9","138259","2396","87.1","1.4","5737","1709","3.6","1.1","113078","3635","71.2","2.1","1215","601","0.8","0.4","4025","1143","2.5","0.7","0","207","0.0","0.1","7576","1547","4.8","1.0","141639","2970","89.2","1.6","499","367","0.3","0.2","141140","2953","88.9","1.6","129500","3414","81.6","2.0","12890","1528","8.1","1.0","124351","2890","78.3","1.5","9482","1542","6.0","1.0","17110","2576","10.8","1.6","13135","2041","(X)","(X)","125","116","1.0","0.9","9055","1590","68.9","6.5","3955","1082","30.1","6.5","59949","2940","(X)","(X)","221","234","0.4","0.4","50213","3202","83.8","3.2","9515","1980","15.9","3.2","85665","3068","(X)","(X)","153","247","0.2","0.3","81872","3136","95.6","1.4","3640","1161","4.2","1.3"
"0500000US41029","Jackson County, Oregon","89787","1615","(X)","(X)","85224","1779","94.9","1.1","72262","2436","80.5","2.3","3850","1013","4.3","1.1","78045","2203","86.9","1.9","8341","1713","9.3","1.9","55130","3486","61.4","3.4","1311","500","1.5","0.6","2389","924","2.7","1.0","0","207","0.0","0.2","4563","994","5.1","1.1","77707","2268","86.5","2.0","674","500","0.8","0.6","77033","2245","85.8","2.0","68016","2467","75.8","2.6","9548","1913","10.6","2.1","59444","2733","66.2","2.8","9700","1574","10.8","1.8","12080","1865","13.5","2.0","13217","2093","(X)","(X)","174","212","1.3","1.6","8143","1537","61.6","7.9","4900","1368","37.1","7.8","44539","2852","(X)","(X)","500","452","1.1","1.0","38580","2663","86.6","3.1","5459","1389","12.3","2.9","32031","2951","(X)","(X)","0","207","0.0","0.6","30310","2941","94.6","2.6","1721","835","5.4","2.6"
"0500000US41017","Deschutes County, Oregon","79950","2076","(X)","(X)","76811","2378","96.1","1.3","70078","2570","87.7","2.1","3113","1034","3.9","1.3","71868","2436","89.9","1.8","3217","1137","4.0","1.4","54371","2902","68.0","3.4","423","388","0.5","0.5","2131","870","2.7","1.1","0","207","0.0","0.2","3139","1051","3.9","1.3","71037","2699","88.9","2.2","182","270","0.2","0.3","70855","2746","88.6","2.3","62011","2983","77.6","3.2","9701","2069","12.1","2.6","56884","3120","71.1","3.2","5586","1261","7.0","1.6","8913","1760","11.1","2.2","9692","1811","(X)","(X)","0","207","0.0","1.8","6400","1339","66.0","9.1","3292","1172","34.0","9.1","34841","2745","(X)","(X)","182","270","0.5","0.8","30287","2897","86.9","4.0","4372","1327","12.5","3.7","35417","2371","(X)","(X)","0","207","0.0","0.5","34168","2388","96.5","2.2","1249","804","3.5","2.2"
"0500000US41003","Benton County, Oregon","35520","1096","(X)","(X)","34172","1169","96.2","1.5","31678","1402","89.2","2.6","1451","471","4.1","1.3","31299","1368","88.1","2.5","1521","638","4.3","1.8","24700","1520","69.5","3.8","227","202","0.6","0.6","1210","454","3.4","1.3","0","207","0.0","0.5","1348","529","3.8","1.5","33227","1266","93.5","2.1","94","114","0.3","0.3","33133","1299","93.3","2.2","30041","1431","84.6","3.1","3028","770","8.5","2.2","28484","1596","80.2","3.3","2279","695","6.4","2.0","2293","752","6.5","2.1","6492","1029","(X)","(X)","0","207","0.0","2.7","5841","1025","90.0","5.3","651","347","10.0","5.3","13687","1471","(X)","(X)","94","114","0.7","0.8","12308","1376","89.9","3.7","1285","495","9.4","3.4","15341","1416","(X)","(X)","0","207","0.0","1.1","14984","1400","97.7","2.0","357","317","2.3","2.0"
