State|Area Name (with parent county and code)|Code|Type of Change|Effective Date|Effective_Year|Effective_Month|Effective_Day|Description of Change|Source of Change|Date Submitted
41|Agate Beach CCD (Lincoln-041)|90034|FIPS Code Change, Name Change|01/01/2010|2010|01|01|Changed to Newport (92133).|Census Bureau|01/26/2010
41|Aloha CDP (Washington-067)|01650|Additional County Subdivision|01/01/2010|2010|01|01|Expanded into Rockcreek CCD (92678).|Participant Statistical Areas Program|03/19/2012
41|Aumsville city (Marion-047)|03250|Additional County Subdivision|03/14/2011|2011|03|14|Annexed into Salem CCD (92737).|Boundary and Annexation Survey|02/08/2012
41|Baker City CCD (Baker-001)|90204|County Subdivision Boundary Change|01/01/2010|2010|01|01|Lost area to Wingville-Haines CCD (93555).|Census Bureau|05/06/2011
41|Baker City city (Baker-001)|03650|Additional County Subdivision|01/01/2010|2010|01|01|Annexed into Wingville-Haines CCD (93555). Added relationship due to correction adding area to Wingville-Haines CCD from Baker City (90204) CCD.|Census Bureau|05/06/2011
41|Beavercreek CCD (Clackamas-005)|90272|Name Change|01/01/2010|2010|01|01|Name corrected from Beaver Creek (90272).|Census Bureau|07/20/2010
41|Benton County|003|County Boundary Change|12/30/2003|2003|12|30|Benton County (003), Southeast Benton CCD (93009) exchanged territory with Linn County (043), Harrisburg CCD (91292).|Boundary and Annexation Survey|05/09/2005
41|Benton County|003|County Boundary Change|12/30/2003|2003|12|30|Benton County (003), Southeast Benton CCD (93009) gained territory from Linn County (043), Harrisburg CCD (91292), lost territory to Linn County (043), Albany CCD (90068) and exchanged territory with Lane County (039), Junction City CCD (91513).|Boundary and Annexation Survey|04/23/2004
41|Calapooia CCD (Douglas-019)|90425|FIPS Code Change, Name Change|01/01/2010|2010|01|01|Changed to Sutherlin (93153).|Census Bureau|01/26/2010
41|Cave Junction CCD (Josephine-033)|90493|County Subdivision Boundary Change|01/01/2010|2010|01|01|Exchanged territory with Williams CCD (93519). Boundary changed lost populated area to Williams CCD and added unpopulated area from Williams CCD. Change made to include the entire Williams community in the Williams CCD.|Census Bureau|01/26/2010
41|Cedar Mill CDP (Multnomah-051, Washington-067)|12150|Additional County|01/01/2010|2010|01|01|Expanded into Multnomah County (051), Portland West CCD (92520).|Participant Statistical Areas Program|03/19/2012
41|Chehalem Mountains CCD (Washington-067)|90510|Name Change|01/01/2010|2010|01|01|Corrected from Chehalem Mountain (90510). Name corrected to match official GNIS name for the source name mountain range.|Census Bureau|01/26/2010
41|City of The Dalles city (Wasco-065)|13245|FIPS Code Change, Name Change|06/21/2007|2007|06|21|Name changed to The Dalles (72950).|Census Bureau|06/21/2007
41|Clackamas County (Clackamas-005)|005|County Boundary Correction|01/01/2012|2012|01|01|Clackamas County (005), Estacada (91088), Molalla (91955), Wilsonville (93536), and Yoder (93587) CCDs exchanged territory with Marion County (047), East Marion (90994), Hubbard (91360), Mount Angel (92006), Silverton (92941), and Woodburn (93570) CCDs.|Boundary and Annexation Survey|06/18/2012
41|Clackamas County|005|County Boundary Correction|01/01/2009|2009|01|01|Clackamas County (005), Mount Hood CCD (92023) exchanged territory with Hood River County (027), Dee (90850) and Parkdale (92431) CCDs.|Boundary and Annexation Survey|03/25/2009
41|Clatskanie CCD (Columbia-009)|90544|Merger/Consolidation|01/01/2010|2010|01|01|Includes merged Marshland CCD (91819).|Census Bureau|01/26/2010
