"GEO_ID","id",
"NAME","Geographic Area Name",
"B28006_001E","Estimate!!Total",
"B28006_001M","Margin of Error!!Total",
"B28006_002E","Estimate!!Total!!Less than high school graduate or equivalency",
"B28006_002M","Margin of Error!!Total!!Less than high school graduate or equivalency",
"B28006_003E","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer",
"B28006_003M","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer",
"B28006_004E","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone",
"B28006_004M","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With dial-up Internet subscription alone",
"B28006_005E","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription",
"B28006_005M","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!With a broadband Internet subscription",
"B28006_006E","Estimate!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription",
"B28006_006M","Margin of Error!!Total!!Less than high school graduate or equivalency!!Has a computer!!Without an Internet subscription",
"B28006_007E","Estimate!!Total!!Less than high school graduate or equivalency!!No computer",
"B28006_007M","Margin of Error!!Total!!Less than high school graduate or equivalency!!No computer",
"B28006_008E","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree",
"B28006_008M","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree",
"B28006_009E","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer",
"B28006_009M","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer",
"B28006_010E","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone",
"B28006_010M","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With dial-up Internet subscription alone",
"B28006_011E","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription",
"B28006_011M","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!With a broadband Internet subscription",
"B28006_012E","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription",
"B28006_012M","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!Has a computer!!Without an Internet subscription",
"B28006_013E","Estimate!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer",
"B28006_013M","Margin of Error!!Total!!High school graduate (includes equivalency) , some college or associate's degree!!No computer",
"B28006_014E","Estimate!!Total!!Bachelor's degree or higher",
"B28006_014M","Margin of Error!!Total!!Bachelor's degree or higher",
"B28006_015E","Estimate!!Total!!Bachelor's degree or higher!!Has a computer",
"B28006_015M","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer",
"B28006_016E","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone",
"B28006_016M","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With dial-up Internet subscription alone",
"B28006_017E","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription",
"B28006_017M","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!With a broadband Internet subscription",
"B28006_018E","Estimate!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription",
"B28006_018M","Margin of Error!!Total!!Bachelor's degree or higher!!Has a computer!!Without an Internet subscription",
"B28006_019E","Estimate!!Total!!Bachelor's degree or higher!!No computer",
"B28006_019M","Margin of Error!!Total!!Bachelor's degree or higher!!No computer",
