"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C01_002E","S2801_C01_002M","S2801_C01_003E","S2801_C01_003M","S2801_C01_004E","S2801_C01_004M","S2801_C01_005E","S2801_C01_005M","S2801_C01_006E","S2801_C01_006M","S2801_C01_007E","S2801_C01_007M","S2801_C01_008E","S2801_C01_008M","S2801_C01_009E","S2801_C01_009M","S2801_C01_010E","S2801_C01_010M","S2801_C01_011E","S2801_C01_011M","S2801_C01_012E","S2801_C01_012M","S2801_C01_013E","S2801_C01_013M","S2801_C01_014E","S2801_C01_014M","S2801_C01_015E","S2801_C01_015M","S2801_C01_016E","S2801_C01_016M","S2801_C01_017E","S2801_C01_017M","S2801_C01_018E","S2801_C01_018M","S2801_C01_019E","S2801_C01_019M","S2801_C01_020E","S2801_C01_020M","S2801_C01_021E","S2801_C01_021M","S2801_C01_022E","S2801_C01_022M","S2801_C01_023E","S2801_C01_023M","S2801_C01_024E","S2801_C01_024M","S2801_C01_025E","S2801_C01_025M","S2801_C01_026E","S2801_C01_026M","S2801_C01_027E","S2801_C01_027M","S2801_C01_028E","S2801_C01_028M","S2801_C01_029E","S2801_C01_029M","S2801_C01_030E","S2801_C01_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_001E","S2801_C02_001M","S2801_C02_002E","S2801_C02_002M","S2801_C02_003E","S2801_C02_003M","S2801_C02_004E","S2801_C02_004M","S2801_C02_005E","S2801_C02_005M","S2801_C02_006E","S2801_C02_006M","S2801_C02_007E","S2801_C02_007M","S2801_C02_008E","S2801_C02_008M","S2801_C02_009E","S2801_C02_009M","S2801_C02_010E","S2801_C02_010M","S2801_C02_011E","S2801_C02_011M","S2801_C02_012E","S2801_C02_012M","S2801_C02_013E","S2801_C02_013M","S2801_C02_014E","S2801_C02_014M","S2801_C02_015E","S2801_C02_015M","S2801_C02_016E","S2801_C02_016M","S2801_C02_017E","S2801_C02_017M","S2801_C02_018E","S2801_C02_018M","S2801_C02_019E","S2801_C02_019M","S2801_C02_020E","S2801_C02_020M","S2801_C02_021E","S2801_C02_021M","S2801_C02_022E","S2801_C02_022M","S2801_C02_023E","S2801_C02_023M","S2801_C02_024E","S2801_C02_024M","S2801_C02_025E","S2801_C02_025M","S2801_C02_026E","S2801_C02_026M","S2801_C02_027E","S2801_C02_027M","S2801_C02_028E","S2801_C02_028M","S2801_C02_029E","S2801_C02_029M","S2801_C02_030E","S2801_C02_030M","S2801_C02_031E","S2801_C02_031M"
"id","Geographic Area Name","Total!!Estimate!!Total households","Total!!Margin of Error!!Total households","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Total!!Estimate!!TYPES OF COMPUTER!!No computer","Total!!Margin of Error!!TYPES OF COMPUTER!!No computer","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With dial-up Internet subscription alone","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With dial-up Internet subscription alone","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With a broadband Internet subscription","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With a broadband Internet subscription","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!Without an Internet subscription","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!Without an Internet subscription","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With dial-up Internet subscription alone","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With dial-up Internet subscription alone","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With a broadband Internet subscription","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With a broadband Internet subscription","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!Without an Internet subscription","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!Without an Internet subscription","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With dial-up Internet subscription alone","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With dial-up Internet subscription alone","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With a broadband Internet subscription","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With a broadband Internet subscription","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!Without an Internet subscription","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!Without an Internet subscription","Percent!!Estimate!!Total households","Percent!!Margin of Error!!Total households","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Percent!!Estimate!!TYPES OF COMPUTER!!No computer","Percent!!Margin of Error!!TYPES OF COMPUTER!!No computer","Percent!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Percent!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Percent!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Percent!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Percent!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Percent!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Percent!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Percent!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Percent!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Percent!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Percent!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Percent!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Percent!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Percent!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Percent!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Percent!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With dial-up Internet subscription alone","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With dial-up Internet subscription alone","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With a broadband Internet subscription","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With a broadband Internet subscription","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!Without an Internet subscription","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!Without an Internet subscription","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With dial-up Internet subscription alone","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With dial-up Internet subscription alone","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With a broadband Internet subscription","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With a broadband Internet subscription","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!Without an Internet subscription","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!Without an Internet subscription","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With dial-up Internet subscription alone","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With dial-up Internet subscription alone","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With a broadband Internet subscription","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With a broadband Internet subscription","Percent!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!Without an Internet subscription","Percent!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!Without an Internet subscription"
"0500000US41003","Benton County, Oregon","34543","1077","33370","1206","32051","1228","3390","747","28494","1202","870","425","23038","1442","0","201","814","407","0","201","1173","498","31262","1362","92","109","31170","1365","26778","1295","2384","721","27949","1369","1202","452","3281","942","7071","1129","50","85","5623","1181","1398","685","14005","1617","42","68","12853","1529","1110","508","13467","1267","0","201","12694","1213","773","454","(X)","(X)","96.6","1.4","92.8","2.0","9.8","2.1","82.5","2.0","2.5","1.2","66.7","3.4","0.0","0.5","2.4","1.2","0.0","0.5","3.4","1.4","90.5","2.7","0.3","0.3","90.2","2.7","77.5","2.8","6.9","2.1","80.9","3.1","3.5","1.3","9.5","2.7","(X)","(X)","0.7","1.2","79.5","9.5","19.8","9.5","(X)","(X)","0.3","0.5","91.8","3.5","7.9","3.5","(X)","(X)","0.0","1.2","94.3","3.3","5.7","3.3"
"0500000US41005","Clackamas County, Oregon","154070","1986","144638","2631","132823","2911","14323","1688","123309","3107","4552","1281","104484","3056","1031","452","3969","1198","78","131","9432","1455","138574","2604","770","491","137804","2627","115688","3394","12882","1810","120249","2870","8136","1258","15496","1765","15616","2072","254","344","9625","1549","5737","1326","61496","2907","470","359","53678","2966","7348","1341","76958","2924","46","76","74501","2828","2411","740","(X)","(X)","93.9","1.0","86.2","1.3","9.3","1.1","80.0","1.6","3.0","0.8","67.8","1.8","0.7","0.3","2.6","0.8","0.1","0.1","6.1","1.0","89.9","1.1","0.5","0.3","89.4","1.2","75.1","1.9","8.4","1.2","78.0","1.6","5.3","0.8","10.1","1.1","(X)","(X)","1.6","2.2","61.6","6.7","36.7","6.5","(X)","(X)","0.8","0.6","87.3","2.2","11.9","2.2","(X)","(X)","0.1","0.1","96.8","0.9","3.1","0.9"
"0500000US41017","Deschutes County, Oregon","71262","1966","66075","2447","60109","2384","7410","1842","55119","2865","3393","1301","42196","2446","790","464","2004","722","0","201","5187","1459","61858","2640","910","587","60948","2740","49932","2658","5402","1376","50382","2734","7832","1477","9404","1736","7700","1661","140","165","5185","1391","2375","992","36181","2499","591","529","29929","2440","5661","1559","27381","2422","179","217","25834","2385","1368","929","(X)","(X)","92.7","2.1","84.3","2.4","10.4","2.5","77.3","3.5","4.8","1.8","59.2","3.4","1.1","0.6","2.8","1.0","0.0","0.2","7.3","2.1","86.8","2.5","1.3","0.8","85.5","2.7","70.1","3.0","7.6","1.9","70.7","3.3","11.0","2.0","13.2","2.5","(X)","(X)","1.8","2.2","67.3","10.7","30.8","11.0","(X)","(X)","1.6","1.4","82.7","4.4","15.6","4.0","(X)","(X)","0.7","0.8","94.4","3.4","5.0","3.3"
"0500000US41019","Douglas County, Oregon","43818","1380","39168","1537","32612","1823","6165","1186","29373","1685","2797","879","23390","2080","807","409","899","447","0","201","4650","903","35902","1626","445","267","35457","1671","27526","1873","5799","1363","26527","1793","4015","749","7916","1144","9653","1433","141","158","5876","1162","3636","846","23810","2074","304","225","19545","2024","3961","976","10355","1583","0","201","10036","1518","319","279","(X)","(X)","89.4","2.0","74.4","3.3","14.1","2.6","67.0","3.2","6.4","2.0","53.4","4.5","1.8","0.9","2.1","1.0","0.0","0.4","10.6","2.0","81.9","2.6","1.0","0.6","80.9","2.6","62.8","3.6","13.2","3.0","60.5","3.6","9.2","1.7","18.1","2.6","(X)","(X)","1.5","1.7","60.9","7.1","37.7","6.9","(X)","(X)","1.3","1.0","82.1","4.2","16.6","3.9","(X)","(X)","0.0","1.6","96.9","2.6","3.1","2.6"
"0500000US41029","Jackson County, Oregon","86745","1916","79182","2359","69072","2656","10102","1590","63642","2706","4835","1129","51638","2745","1555","704","1802","528","133","156","7563","1213","74283","2439","556","324","73727","2489","60672","2893","8413","1504","60818","2808","6547","1348","12462","1563","16382","1920","140","116","10456","1563","5786","1247","43894","2413","416","276","38321","2580","5157","1079","26469","2318","0","201","24950","2278","1519","544","(X)","(X)","91.3","1.4","79.6","2.5","11.6","1.8","73.4","2.5","5.6","1.3","59.5","2.7","1.8","0.8","2.1","0.6","0.2","0.2","8.7","1.4","85.6","1.8","0.6","0.4","85.0","1.9","69.9","2.8","9.7","1.7","70.1","2.7","7.5","1.5","14.4","1.8","(X)","(X)","0.9","0.7","63.8","6.2","35.3","6.2","(X)","(X)","0.9","0.6","87.3","2.6","11.7","2.5","(X)","(X)","0.0","0.6","94.3","2.0","5.7","2.0"
"0500000US41033","Josephine County, Oregon","35439","1093","30095","1605","25450","1703","5382","963","21631","1643","2416","854","18041","1684","1185","632","704","314","0","201","5344","1158","27853","1743","139","108","27714","1732","20697","1816","3499","889","19666","1659","4953","1311","7586","1323","9707","1355","0","201","6208","1307","3499","970","19005","1743","37","62","15062","1878","3906","1095","6727","1123","102","114","6444","1137","181","187","(X)","(X)","84.9","3.3","71.8","3.7","15.2","2.7","61.0","3.7","6.8","2.4","50.9","4.5","3.3","1.8","2.0","0.9","0.0","0.5","15.1","3.3","78.6","3.8","0.4","0.3","78.2","3.8","58.4","4.4","9.9","2.5","55.5","4.4","14.0","3.6","21.4","3.8","(X)","(X)","0.0","1.7","64.0","9.3","36.0","9.3","(X)","(X)","0.2","0.3","79.3","5.8","20.6","5.7","(X)","(X)","1.5","1.7","95.8","2.9","2.7","2.8"
"0500000US41035","Klamath County, Oregon","26359","1213","22791","1262","18665","1309","3062","737","18304","1268","1937","588","13776","1508","415","271","293","231","0","201","3568","838","20254","1410","174","169","20080","1440","15135","1303","2868","695","15099","1497","2603","691","6105","1037","5461","959","57","93","2968","798","2436","634","14454","1352","117","140","11044","1377","3293","845","6444","919","0","201","6068","882","376","318","(X)","(X)","86.5","3.1","70.8","4.0","11.6","2.8","69.4","4.0","7.3","2.2","52.3","4.8","1.6","1.0","1.1","0.9","0.0","0.6","13.5","3.1","76.8","3.8","0.7","0.6","76.2","4.0","57.4","4.1","10.9","2.6","57.3","4.8","9.9","2.6","23.2","3.8","(X)","(X)","1.0","1.7","54.3","10.2","44.6","9.7","(X)","(X)","0.8","1.0","76.4","5.6","22.8","5.6","(X)","(X)","0.0","2.6","94.2","4.8","5.8","4.8"
"0500000US41039","Lane County, Oregon","147712","2024","136624","2410","121496","2560","16308","1452","112479","2807","8504","1412","85388","2530","1675","455","2996","706","37","63","11088","1526","124483","2498","764","355","123719","2538","102778","2968","13324","1674","103063","2762","11001","1303","23229","2254","28756","2491","133","145","19816","2210","8807","1525","75205","3937","574","320","62578","3562","12053","1721","43751","2855","57","62","41325","2736","2369","782","(X)","(X)","92.5","1.0","82.3","1.3","11.0","1.0","76.1","1.4","5.8","0.9","57.8","1.7","1.1","0.3","2.0","0.5","0.0","0.1","7.5","1.0","84.3","1.5","0.5","0.2","83.8","1.5","69.6","1.7","9.0","1.1","69.8","1.7","7.4","0.9","15.7","1.5","(X)","(X)","0.5","0.5","68.9","4.8","30.6","4.7","(X)","(X)","0.8","0.4","83.2","2.0","16.0","2.1","(X)","(X)","0.1","0.1","94.5","1.7","5.4","1.7"
"0500000US41043","Linn County, Oregon","46645","1122","40762","1446","37043","1547","4419","883","34638","1534","1860","714","26248","2046","500","443","1065","484","0","201","5883","1164","37908","1623","341","248","37567","1634","31814","1544","4430","989","30490","1679","4387","1007","8737","1344","7313","1220","146","171","3904","904","3263","846","24443","1893","142","164","19687","1766","4614","1057","14889","1583","53","71","13976","1544","860","472","(X)","(X)","87.4","2.4","79.4","3.0","9.5","1.9","74.3","2.8","4.0","1.5","56.3","4.0","1.1","0.9","2.3","1.0","0.0","0.4","12.6","2.4","81.3","2.8","0.7","0.5","80.5","2.9","68.2","3.0","9.5","2.0","65.4","3.6","9.4","2.1","18.7","2.8","(X)","(X)","2.0","2.3","53.4","8.7","44.6","9.0","(X)","(X)","0.6","0.7","80.5","4.1","18.9","4.0","(X)","(X)","0.4","0.5","93.9","3.1","5.8","3.1"
