"GEO_ID","id",
"NAME","Geographic Area Name",
"S2801_C01_001E","Total!!Estimate!!Total households",
"S2801_C01_001M","Total!!Margin of Error!!Total households",
"S2801_C01_002E","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices",
"S2801_C01_002M","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices",
"S2801_C01_003E","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop",
"S2801_C01_003M","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop",
"S2801_C01_004E","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device",
"S2801_C01_004M","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device",
"S2801_C01_005E","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone",
"S2801_C01_005M","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone",
"S2801_C01_006E","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device",
"S2801_C01_006M","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device",
"S2801_C01_007E","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer",
"S2801_C01_007M","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer",
"S2801_C01_008E","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device",
"S2801_C01_008M","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device",
"S2801_C01_009E","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer",
"S2801_C01_009M","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer",
"S2801_C01_010E","Total!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device",
"S2801_C01_010M","Total!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device",
"S2801_C01_011E","Total!!Estimate!!TYPES OF COMPUTER!!No computer",
"S2801_C01_011M","Total!!Margin of Error!!TYPES OF COMPUTER!!No computer",
"S2801_C01_012E","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription",
"S2801_C01_012M","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription",
"S2801_C01_013E","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription",
"S2801_C01_013M","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription",
"S2801_C01_014E","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type",
"S2801_C01_014M","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type",
"S2801_C01_015E","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan",
"S2801_C01_015M","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan",
"S2801_C01_016E","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription",
"S2801_C01_016M","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription",
"S2801_C01_017E","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL",
"S2801_C01_017M","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL",
"S2801_C01_018E","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service",
"S2801_C01_018M","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service",
"S2801_C01_019E","Total!!Estimate!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription",
"S2801_C01_019M","Total!!Margin of Error!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription",
"S2801_C01_020E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000",
"S2801_C01_020M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000",
"S2801_C01_021E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With dial-up Internet subscription alone",
"S2801_C01_021M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With dial-up Internet subscription alone",
"S2801_C01_022E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With a broadband Internet subscription",
"S2801_C01_022M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!With a broadband Internet subscription",
"S2801_C01_023E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!Without an Internet subscription",
"S2801_C01_023M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Less than $20,000!!Without an Internet subscription",
"S2801_C01_024E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999",
"S2801_C01_024M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999",
"S2801_C01_025E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With dial-up Internet subscription alone",
"S2801_C01_025M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With dial-up Internet subscription alone",
"S2801_C01_026E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With a broadband Internet subscription",
"S2801_C01_026M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!With a broadband Internet subscription",
"S2801_C01_027E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!Without an Internet subscription",
"S2801_C01_027M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $74,999!!Without an Internet subscription",
"S2801_C01_028E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more",
"S2801_C01_028M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more",
"S2801_C01_029E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With dial-up Internet subscription alone",
"S2801_C01_029M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With dial-up Internet subscription alone",
"S2801_C01_030E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With a broadband Internet subscription",
"S2801_C01_030M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!With a broadband Internet subscription",
"S2801_C01_031E","Total!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!Without an Internet subscription",
"S2801_C01_031M","Total!!Margin of Error!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!$75,000 or more!!Without an Internet subscription",
"S2801_C02_001E","Percent!!Estimate!!Total households",
"S2801_C02_001M","Percent!!Margin of Error!!Total households",
"S2801_C02_002E","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices",
"S2801_C02_002M","Percent!!Margin of Error!!TYPES OF COMPUTER!!Has one or more types of computing devices",
"S2801_C02_003E","Percent!!Estimate!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop",
