"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C02_001E","S2801_C02_001M","S2801_C01_002E","S2801_C01_002M","S2801_C02_002E","S2801_C02_002M","S2801_C01_003E","S2801_C01_003M","S2801_C02_003E","S2801_C02_003M","S2801_C01_004E","S2801_C01_004M","S2801_C02_004E","S2801_C02_004M","S2801_C01_005E","S2801_C01_005M","S2801_C02_005E","S2801_C02_005M","S2801_C01_006E","S2801_C01_006M","S2801_C02_006E","S2801_C02_006M","S2801_C01_007E","S2801_C01_007M","S2801_C02_007E","S2801_C02_007M","S2801_C01_008E","S2801_C01_008M","S2801_C02_008E","S2801_C02_008M","S2801_C01_009E","S2801_C01_009M","S2801_C02_009E","S2801_C02_009M","S2801_C01_010E","S2801_C01_010M","S2801_C02_010E","S2801_C02_010M","S2801_C01_011E","S2801_C01_011M","S2801_C02_011E","S2801_C02_011M","S2801_C01_012E","S2801_C01_012M","S2801_C02_012E","S2801_C02_012M","S2801_C01_013E","S2801_C01_013M","S2801_C02_013E","S2801_C02_013M","S2801_C01_014E","S2801_C01_014M","S2801_C02_014E","S2801_C02_014M","S2801_C01_015E","S2801_C01_015M","S2801_C02_015E","S2801_C02_015M","S2801_C01_016E","S2801_C01_016M","S2801_C02_016E","S2801_C02_016M","S2801_C01_017E","S2801_C01_017M","S2801_C02_017E","S2801_C02_017M","S2801_C01_018E","S2801_C01_018M","S2801_C02_018E","S2801_C02_018M","S2801_C01_019E","S2801_C01_019M","S2801_C02_019E","S2801_C02_019M","S2801_C01_020E","S2801_C01_020M","S2801_C02_020E","S2801_C02_020M","S2801_C01_021E","S2801_C01_021M","S2801_C02_021E","S2801_C02_021M","S2801_C01_022E","S2801_C01_022M","S2801_C02_022E","S2801_C02_022M","S2801_C01_023E","S2801_C01_023M","S2801_C02_023E","S2801_C02_023M","S2801_C01_024E","S2801_C01_024M","S2801_C02_024E","S2801_C02_024M","S2801_C01_025E","S2801_C01_025M","S2801_C02_025E","S2801_C02_025M","S2801_C01_026E","S2801_C01_026M","S2801_C02_026E","S2801_C02_026M","S2801_C01_027E","S2801_C01_027M","S2801_C02_027E","S2801_C02_027M","S2801_C01_028E","S2801_C01_028M","S2801_C02_028E","S2801_C02_028M","S2801_C01_029E","S2801_C01_029M","S2801_C02_029E","S2801_C02_029M","S2801_C01_030E","S2801_C01_030M","S2801_C02_030E","S2801_C02_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_031E","S2801_C02_031M"
"id","Geographic Area Name","Estimate!!Total!!Total households","Margin of Error!!Total MOE!!Total households","Estimate!!Percent!!Total households","Margin of Error!!Percent MOE!!Total households","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!No computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Percent!!TYPES OF COMPUTER!!No computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription"
"0500000US41001","Baker County, Oregon","6927","271","(X)","(X)","5938","286","85.7","2.1","5279","286","76.2","2.6","1170","158","16.9","2.1","4440","240","64.1","2.6","345","115","5.0","1.6","3439","234","49.6","2.8","62","42","0.9","0.6","166","63","2.4","0.9","0","19","0.0","0.5","989","145","14.3","2.1","5053","260","72.9","2.5","51","29","0.7","0.4","5002","260","72.2","2.6","3167","229","45.7","2.9","756","146","10.9","2.1","3726","262","53.8","3.2","593","111","8.6","1.6","1874","193","27.1","2.5","1360","167","(X)","(X)","31","26","2.3","1.9","726","148","53.4","8.3","603","129","44.3","8.3","3756","268","(X)","(X)","18","14","0.5","0.4","2612","238","69.5","3.6","1126","153","30.0","3.6","1811","183","(X)","(X)","2","4","0.1","0.2","1664","177","91.9","2.2","145","42","8.0","2.3"
"0500000US41003","Benton County, Oregon","35056","451","(X)","(X)","33494","507","95.5","0.7","31851","526","90.9","1.0","3452","299","9.8","0.9","28457","562","81.2","1.1","784","195","2.2","0.6","21972","679","62.7","1.8","248","128","0.7","0.4","2058","288","5.9","0.8","19","18","0.1","0.1","1562","241","4.5","0.7","31408","567","89.6","1.0","175","60","0.5","0.2","31233","562","89.1","1.0","23005","674","65.6","1.6","1972","299","5.6","0.8","27948","589","79.7","1.4","1489","228","4.2","0.6","3648","360","10.4","1.0","6713","446","(X)","(X)","66","36","1.0","0.5","5368","426","80.0","3.5","1279","248","19.1","3.5","14127","578","(X)","(X)","91","45","0.6","0.3","12303","585","87.1","1.6","1733","231","12.3","1.6","14216","526","(X)","(X)","18","17","0.1","0.1","13562","500","95.4","1.2","636","173","4.5","1.2"
"0500000US41005","Clackamas County, Oregon","155456","776","(X)","(X)","145407","842","93.5","0.4","135242","1077","87.0","0.6","14013","764","9.0","0.5","125265","1161","80.6","0.7","4055","557","2.6","0.4","101074","1125","65.0","0.7","868","243","0.6","0.2","4952","473","3.2","0.3","126","70","0.1","0.1","10049","690","6.5","0.4","136588","1053","87.9","0.6","866","206","0.6","0.1","135722","1062","87.3","0.6","100415","1430","64.6","0.9","11677","779","7.5","0.5","119428","1257","76.8","0.7","7519","565","4.8","0.4","18868","949","12.1","0.6","14987","840","(X)","(X)","129","85","0.9","0.6","9444","690","63.0","3.0","5414","541","36.1","2.9","61223","1147","(X)","(X)","572","153","0.9","0.3","50248","1080","82.1","1.1","10403","745","17.0","1.1","79246","1044","(X)","(X)","165","82","0.2","0.1","76030","987","95.9","0.5","3051","392","3.9","0.5"
"0500000US41007","Clatsop County, Oregon","15910","387","(X)","(X)","14096","393","88.6","1.3","12731","475","80.0","2.0","1907","232","12.0","1.5","11470","416","72.1","1.8","625","147","3.9","0.9","9071","413","57.0","2.3","122","63","0.8","0.4","417","109","2.6","0.7","8","11","0.1","0.1","1814","219","11.4","1.3","12950","411","81.4","1.8","37","23","0.2","0.1","12913","409","81.2","1.8","9053","375","56.9","2.2","947","174","6.0","1.1","10965","426","68.9","2.2","1246","213","7.8","1.3","2960","296","18.6","1.8","2316","286","(X)","(X)","3","5","0.1","0.2","1362","213","58.8","6.1","951","190","41.1","6.1","8133","481","(X)","(X)","24","20","0.3","0.2","6494","417","79.8","2.4","1615","223","19.9","2.4","5461","355","(X)","(X)","10","16","0.2","0.3","5057","357","92.6","2.1","394","117","7.2","2.1"
"0500000US41009","Columbia County, Oregon","19296","329","(X)","(X)","17156","421","88.9","1.6","15162","467","78.6","1.9","2428","304","12.6","1.6","13861","508","71.8","2.1","1068","203","5.5","1.0","10515","481","54.5","2.2","102","53","0.5","0.3","431","108","2.2","0.6","51","55","0.3","0.3","2140","309","11.1","1.6","16098","414","83.4","1.6","166","69","0.9","0.4","15932","416","82.6","1.6","11724","572","60.8","2.6","1723","295","8.9","1.5","12658","432","65.6","2.0","1934","244","10.0","1.3","3198","308","16.6","1.6","2701","355","(X)","(X)","31","24","1.1","0.9","1687","273","62.5","5.3","983","190","36.4","5.6","8982","494","(X)","(X)","69","38","0.8","0.4","7085","430","78.9","2.8","1828","284","20.4","2.8","7613","446","(X)","(X)","66","53","0.9","0.7","7160","433","94.0","1.6","387","116","5.1","1.5"
"0500000US41011","Coos County, Oregon","26640","550","(X)","(X)","22665","573","85.1","1.5","19538","610","73.3","2.0","3979","403","14.9","1.6","17336","661","65.1","1.9","1485","265","5.6","1.0","12877","629","48.3","2.2","218","91","0.8","0.3","1396","260","5.2","1.0","18","20","0.1","0.1","3975","406","14.9","1.5","19885","651","74.6","2.1","209","88","0.8","0.3","19676","642","73.9","2.0","12755","694","47.9","2.4","1996","344","7.5","1.3","15466","625","58.1","2.1","2718","346","10.2","1.3","6755","585","25.4","2.1","6037","515","(X)","(X)","44","38","0.7","0.6","3026","360","50.1","5.1","2967","433","49.1","5.1","13999","765","(X)","(X)","152","76","1.1","0.5","10649","725","76.1","2.9","3198","442","22.8","2.9","6604","468","(X)","(X)","13","16","0.2","0.3","6001","457","90.9","2.4","590","165","8.9","2.4"
"0500000US41013","Crook County, Oregon","9339","231","(X)","(X)","8224","299","88.1","2.1","7266","336","77.8","2.9","1241","228","13.3","2.4","6559","345","70.2","3.2","516","188","5.5","2.0","4553","325","48.8","3.3","127","75","1.4","0.8","518","176","5.5","1.9","0","22","0.0","0.3","1115","196","11.9","2.1","7364","347","78.9","3.1","59","48","0.6","0.5","7305","354","78.2","3.1","5187","360","55.5","3.5","905","212","9.7","2.2","4780","331","51.2","3.2","1777","288","19.0","3.1","1975","292","21.1","3.1","1512","257","(X)","(X)","0","22","0.0","2.1","797","188","52.7","9.8","715","201","47.3","9.8","5289","394","(X)","(X)","59","48","1.1","0.9","4139","357","78.3","4.0","1091","230","20.6","3.9","2538","339","(X)","(X)","0","22","0.0","1.3","2369","326","93.3","3.0","169","80","6.7","3.0"
"0500000US41015","Curry County, Oregon","10440","356","(X)","(X)","8870","457","85.0","2.9","8107","450","77.7","3.3","1704","277","16.3","2.7","6331","447","60.6","3.2","428","170","4.1","1.6","5070","477","48.6","4.0","95","68","0.9","0.7","583","220","5.6","2.1","4","13","0.0","0.1","1570","301","15.0","2.9","7857","459","75.3","3.4","131","71","1.3","0.7","7726","454","74.0","3.4","4791","420","45.9","3.5","1075","223","10.3","2.1","5986","485","57.3","4.1","829","195","7.9","1.9","2583","360","24.7","3.4","2193","335","(X)","(X)","25","29","1.1","1.3","1117","236","50.9","7.7","1051","232","47.9","7.4","5366","445","(X)","(X)","106","70","2.0","1.3","3983","419","74.2","4.9","1277","287","23.8","4.9","2881","384","(X)","(X)","0","22","0.0","1.1","2626","360","91.1","3.6","255","109","8.9","3.6"
"0500000US41017","Deschutes County, Oregon","72471","925","(X)","(X)","68532","1003","94.6","0.6","63496","1109","87.6","1.0","7942","749","11.0","1.0","57511","1256","79.4","1.3","2412","501","3.3","0.7","43137","1212","59.5","1.5","396","172","0.5","0.2","2252","429","3.1","0.6","35","37","0.0","0.1","3939","412","5.4","0.6","62214","1248","85.8","1.1","350","141","0.5","0.2","61864","1226","85.4","1.1","46219","1286","63.8","1.5","7560","833","10.4","1.1","49579","1296","68.4","1.4","5821","568","8.0","0.8","10257","792","14.2","1.1","8365","672","(X)","(X)","59","49","0.7","0.6","5710","603","68.3","4.5","2596","421","31.0","4.5","34250","1121","(X)","(X)","212","115","0.6","0.3","28331","1087","82.7","1.9","5707","714","16.7","2.0","29856","1202","(X)","(X)","79","58","0.3","0.2","27823","1191","93.2","1.4","1954","418","6.5","1.4"
