GEO_ID,NAME,DP05_0031PM,DP05_0032E,DP05_0032PE,DP05_0033E,DP05_0033PE,DP05_0034E,DP05_0034PE,DP05_0035E,DP05_0035PE,DP05_0036E,DP05_0036PE,DP05_0037E,DP05_0037PE,DP05_0038E,DP05_0038PE,DP05_0039E,DP05_0039PE,DP05_0040E,DP05_0040PE,DP05_0041E,DP05_0041PE,DP05_0042E,DP05_0042PE,DP05_0043E,DP05_0043PE,DP05_0044E,DP05_0044PE,DP05_0045E,DP05_0045PE,DP05_0046E,DP05_0046PE,DP05_0047E,DP05_0047PE,DP05_0048E,DP05_0048PE,DP05_0049E,DP05_0049PE,DP05_0050E,DP05_0050PE,DP05_0051E,DP05_0051PE,DP05_0052E,DP05_0052PE,DP05_0053E,DP05_0053PE,DP05_0054E,DP05_0054PE,DP05_0055E,DP05_0055PE,DP05_0056E,DP05_0056PE,DP05_0057E,DP05_0057PE,DP05_0058E,DP05_0058PE,DP05_0059E,DP05_0059PE,DP05_0060E,DP05_0060PE,DP05_0061E,DP05_0061PE,DP05_0062E,DP05_0062PE,DP05_0063E,DP05_0063PE,DP05_0064E,DP05_0064PE,DP05_0065E,DP05_0065PE,DP05_0066E,DP05_0066PE,DP05_0067E,DP05_0067PE,DP05_0068E,DP05_0068PE,DP05_0069E,DP05_0069PE,DP05_0070E,DP05_0070PE,DP05_0071E,DP05_0071PE,DP05_0072E,DP05_0072PE,DP05_0073E,DP05_0073PE,DP05_0074E,DP05_0074PE,DP05_0075E,DP05_0075PE,DP05_0076E,DP05_0076PE,DP05_0077E,DP05_0077PE,DP05_0078E,DP05_0078PE,DP05_0079E,DP05_0079PE,DP05_0080E,DP05_0080PE,DP05_0081E,DP05_0081PE,DP05_0082E,DP05_0082PE,DP05_0083E,DP05_0083PE,DP05_0084E,DP05_0084PE,DP05_0085E,DP05_0085PE,DP05_0086E,DP05_0086PE,DP05_0087E,DP05_0087PE,DP05_0088E,DP05_0088PE,DP05_0089E,DP05_0089PE,DP05_0001E,DP05_0001PE,DP05_0002E,DP05_0002PE,DP05_0003E,DP05_0003PE,DP05_0004E,DP05_0004PE,DP05_0005E,DP05_0005PE,DP05_0006E,DP05_0006PE,DP05_0007E,DP05_0007PE,DP05_0008E,DP05_0008PE,DP05_0009E,DP05_0009PE,DP05_0010E,DP05_0010PE,DP05_0011E,DP05_0011PE,DP05_0012E,DP05_0012PE,DP05_0013E,DP05_0013PE,DP05_0014E,DP05_0014PE,DP05_0015E,DP05_0015PE,DP05_0016E,DP05_0016PE,DP05_0017E,DP05_0017PE,DP05_0018E,DP05_0018PE,DP05_0019E,DP05_0019PE,DP05_0020E,DP05_0020PE,DP05_0021E,DP05_0021PE,DP05_0022E,DP05_0022PE,DP05_0023E,DP05_0023PE,DP05_0024E,DP05_0024PE,DP05_0025E,DP05_0025PE,DP05_0026E,DP05_0026PE,DP05_0027E,DP05_0027PE,DP05_0028E,DP05_0028PE,DP05_0029E,DP05_0029PE,DP05_0030E,DP05_0030PE,DP05_0031E,DP05_0031PE
id,Geographic Area Name,Percent Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Female,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),Estimate!!RACE!!Total population,Percent Estimate!!RACE!!Total population,Estimate!!RACE!!Total population!!One race,Percent Estimate!!RACE!!Total population!!One race,Estimate!!RACE!!Total population!!Two or more races,Percent Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!One race,Percent Estimate!!RACE!!Total population!!One race,Estimate!!RACE!!Total population!!One race!!White,Percent Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Percent Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Estimate!!RACE!!Total population!!One race!!Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Some other race,Percent Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!RACE!!Total population!!Two or more races,Percent Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Black or African American,Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Percent Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population,Percent Estimate!!Race alone or in combination with one or more other races!!Total population,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!White,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race,Percent Estimate!!Race alone or in combination with one or more other races!!Total population!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Percent Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Estimate!!Total housing units,Percent Estimate!!Total housing units,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female",Estimate!!SEX AND AGE!!Total population,Percent Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!Under 5 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 5 years,Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Percent Estimate!!SEX AND AGE!!Total population!!5 to 9 years,Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Percent Estimate!!SEX AND AGE!!Total population!!10 to 14 years,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Percent Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Percent Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Percent Estimate!!SEX AND AGE!!Total population!!25 to 34 years,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Percent Estimate!!SEX AND AGE!!Total population!!35 to 44 years,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Percent Estimate!!SEX AND AGE!!Total population!!45 to 54 years,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Percent Estimate!!SEX AND AGE!!Total population!!55 to 59 years,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Percent Estimate!!SEX AND AGE!!Total population!!60 to 64 years,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Percent Estimate!!SEX AND AGE!!Total population!!65 to 74 years,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Percent Estimate!!SEX AND AGE!!Total population!!75 to 84 years,Estimate!!SEX AND AGE!!Total population!!85 years and over,Percent Estimate!!SEX AND AGE!!Total population!!85 years and over,Estimate!!SEX AND AGE!!Total population!!Median age (years),Percent Estimate!!SEX AND AGE!!Total population!!Median age (years),Estimate!!SEX AND AGE!!Total population!!Under 18 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 18 years,Estimate!!SEX AND AGE!!Total population!!16 years and over,Percent Estimate!!SEX AND AGE!!Total population!!16 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over,Estimate!!SEX AND AGE!!Total population!!21 years and over,Percent Estimate!!SEX AND AGE!!Total population!!21 years and over,Estimate!!SEX AND AGE!!Total population!!62 years and over,Percent Estimate!!SEX AND AGE!!Total population!!62 years and over,Estimate!!SEX AND AGE!!Total population!!65 years and over,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!65 years and over,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,Percent Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female
1400000US41001950100,"Census Tract 9501, Baker County, Oregon",4.9,119.9,(X),2817,2817,2798,99.3,19,0.7,2798,99.3,2670,94.8,26,0.9,24,0.9,4,0.1,2,0.1,1,0,0,0,22,0.8,0,0,8,0.3,14,0.5,0,0,0,0,0,0,0,0,9,0.3,7,0.2,0,0,0,0,2,0.1,47,1.7,19,0.7,3,0.1,14,0.5,0,0,0,0,2817,2817,2689,95.5,29,1,38,1.3,22,0.8,9,0.3,49,1.7,2817,2817,161,5.7,159,5.6,0,0,0,0,2,0.1,2656,94.3,2546,90.4,26,0.9,23,0.8,22,0.8,9,0.3,15,0.5,15,0.5,0,0,15,0.5,2055,(X),2278,2278,1104,48.5,1174,51.5,2817,2817,1341,47.6,1476,52.4,90.9,(X),116,4.1,148,5.3,144,5.1,111,3.9,70,2.5,231,8.2,228,8.1,289,10.3,333,11.8,362,12.9,456,16.2,227,8.1,102,3.6,56.5,(X),492,17.5,2397,85.1,2325,82.5,2289,81.3,1088,38.6,785,27.9,2325,2325,1128,48.5,1197,51.5,94.2,(X),785,785,428,54.5,357,45.5
1400000US41001950200,"Census Tract 9502, Baker County, Oregon",7.2,85.9,(X),3435,3435,3412,99.3,23,0.7,3412,99.3,3247,94.5,25,0.7,41,1.2,5,0.1,0,0,0,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2.9,23,0.7,0,0,18,0.5,5,0.1,0,0,3435,3435,3270,95.2,25,0.7,59,1.7,5,0.1,0,0,99,2.9,3435,3435,133,3.9,122,3.6,0,0,0,0,11,0.3,3302,96.1,3210,93.4,25,0.7,41,1.2,0,0,0,0,8,0.2,18,0.5,0,0,18,0.5,1573,(X),2631,2631,1274,48.4,1357,51.6,3435,3435,1704,49.6,1731,50.4,98.4,(X),242,7,215,6.3,207,6,177,5.2,220,6.4,343,10,419,12.2,398,11.6,297,8.6,194,5.6,464,13.5,199,5.8,60,1.7,43.2,(X),791,23,2733,79.6,2644,77,2514,73.2,859,25,723,21,2644,2644,1287,48.7,1357,51.3,94.8,(X),723,723,334,46.2,389,53.8
1400000US41001950300,"Census Tract 9503, Baker County, Oregon",7,85.6,(X),2429,2429,2384,98.1,45,1.9,2384,98.1,2253,92.8,54,2.2,52,2.1,1,0,0,0,0,0,0,0,14,0.6,4,0.2,3,0.1,0,0,0,0,2,0.1,2,0.1,3,0.1,9,0.4,9,0.4,0,0,0,0,0,0,2,0.1,45,1.9,8,0.3,4,0.2,33,1.4,0,0,2429,2429,2298,94.6,62,2.6,56,2.3,47,1.9,9,0.4,2,0.1,2429,2429,18,0.7,6,0.2,8,0.3,0,0,4,0.2,2411,99.3,2238,92.1,54,2.2,51,2.1,14,0.6,9,0.4,0,0,45,1.9,0,0,45,1.9,1353,(X),1883,1883,983,52.2,900,47.8,2429,2429,1271,52.3,1158,47.7,109.8,(X),67,2.8,201,8.3,163,6.7,156,6.4,148,6.1,304,12.5,198,8.2,308,12.7,133,5.5,170,7,278,11.4,230,9.5,73,3,44.1,(X),535,22,1955,80.5,1894,78,1782,73.4,681,28,581,23.9,1894,1894,994,52.5,900,47.5,110.4,(X),581,581,268,46.1,313,53.9
1400000US41001950400,"Census Tract 9504, Baker County, Oregon",8.6,74.4,(X),2698,2698,2624,97.3,74,2.7,2624,97.3,2468,91.5,9,0.3,0,0,0,0,0,0,0,0,0,0,50,1.9,0,0,0,0,16,0.6,0,0,34,1.3,0,0,0,0,25,0.9,25,0.9,0,0,0,0,0,0,72,2.7,74,2.7,0,0,66,2.4,0,0,0,0,2698,2698,2542,94.2,9,0.3,66,2.4,50,1.9,25,0.9,80,3,2698,2698,92,3.4,46,1.7,0,0,0,0,46,1.7,2606,96.6,2456,91,9,0.3,0,0,50,1.9,25,0.9,0,0,66,2.4,0,0,66,2.4,1430,(X),2110,2110,990,46.9,1120,53.1,2698,2698,1302,48.3,1396,51.7,93.3,(X),166,6.2,152,5.6,68,2.5,204,7.6,49,1.8,320,11.9,367,13.6,314,11.6,166,6.2,203,7.5,368,13.6,223,8.3,98,3.6,46,(X),534,19.8,2243,83.1,2164,80.2,2094,77.6,817,30.3,689,25.5,2164,2164,1002,46.3,1162,53.7,86.2,(X),689,689,294,42.7,395,57.3
1400000US41001950500,"Census Tract 9505, Baker County, Oregon",8.3,122.9,(X),2641,2641,2567,97.2,74,2.8,2567,97.2,2350,89,29,1.1,69,2.6,10,0.4,0,0,0,0,9,0.3,39,1.5,0,0,21,0.8,0,0,0,0,18,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,3,74,2.8,10,0.4,38,1.4,17,0.6,0,0,2641,2641,2415,91.4,39,1.5,116,4.4,56,2.1,9,0.3,80,3,2641,2641,180,6.8,180,6.8,0,0,0,0,0,0,2461,93.2,2265,85.8,29,1.1,54,2,39,1.5,0,0,0,0,74,2.8,0,0,74,2.8,1111,(X),2123,2123,1327,62.5,796,37.5,2641,2641,1620,61.3,1021,38.7,158.7,(X),120,4.5,177,6.7,98,3.7,72,2.7,226,8.6,446,16.9,311,11.8,326,12.3,184,7,117,4.4,341,12.9,163,6.2,60,2.3,41.8,(X),441,16.7,2243,84.9,2200,83.3,2161,81.8,649,24.6,564,21.4,2200,2200,1376,62.5,824,37.5,167,(X),564,564,311,55.1,253,44.9
1400000US41001950600,"Census Tract 9506, Baker County, Oregon",4.5,95.7,(X),1964,1964,1916,97.6,48,2.4,1916,97.6,1867,95.1,6,0.3,27,1.4,7,0.4,0,0,5,0.3,2,0.1,14,0.7,0,0,0,0,0,0,6,0.3,8,0.4,0,0,0,0,2,0.1,2,0.1,0,0,0,0,0,0,0,0,48,2.4,8,0.4,30,1.5,10,0.5,0,0,1964,1964,1915,97.5,14,0.7,57,2.9,24,1.2,2,0.1,0,0,1964,1964,67,3.4,61,3.1,0,0,0,0,6,0.3,1897,96.6,1800,91.6,6,0.3,27,1.4,14,0.7,2,0.1,0,0,48,2.4,0,0,48,2.4,1474,(X),1639,1639,798,48.7,841,51.3,1964,1964,994,50.6,970,49.4,102.5,(X),91,4.6,75,3.8,107,5.4,49,2.5,38,1.9,195,9.9,124,6.3,162,8.2,157,8,234,11.9,424,21.6,258,13.1,50,2.5,59.6,(X),314,16,1688,85.9,1650,84,1627,82.8,875,44.6,732,37.3,1650,1650,798,48.4,852,51.6,93.7,(X),732,732,358,48.9,374,51.1
1400000US41003000100,"Census Tract 1, Benton County, Oregon",9.6,111.2,(X),8037,8037,7828,97.4,209,2.6,7828,97.4,7233,90,79,1,0,0,0,0,0,0,0,0,0,0,318,4,0,0,44,0.5,11,0.1,120,1.5,27,0.3,103,1.3,13,0.2,0,0,0,0,0,0,0,0,0,0,198,2.5,209,2.6,46,0.6,26,0.3,57,0.7,0,0,8037,8037,7442,92.6,186,2.3,87,1.1,382,4.8,19,0.2,198,2.5,8037,8037,932,11.6,732,9.1,22,0.3,21,0.3,157,2,7105,88.4,6498,80.9,79,1,0,0,289,3.6,0,0,30,0.4,209,2.6,0,0,209,2.6,3348,(X),6062,6062,3009,49.6,3053,50.4,8037,8037,4070,50.6,3967,49.4,102.6,(X),417,5.2,519,6.5,324,4,408,5.1,860,10.7,2131,26.5,1215,15.1,687,8.5,407,5.1,296,3.7,503,6.3,221,2.7,49,0.6,30.3,(X),1508,18.8,6688,83.2,6529,81.2,6207,77.2,886,11,773,9.6,6529,6529,3282,50.3,3247,49.7,101.1,(X),773,773,407,52.7,366,47.3
1400000US41003000202,"Census Tract 2.02, Benton County, Oregon",6.1,67.1,(X),5104,5104,4860,95.2,244,4.8,4860,95.2,4152,81.3,169,3.3,20,0.4,20,0.4,0,0,0,0,0,0,447,8.8,86,1.7,259,5.1,0,0,42,0.8,21,0.4,39,0.8,0,0,9,0.2,9,0.2,0,0,0,0,0,0,63,1.2,244,4.8,17,0.3,82,1.6,62,1.2,0,0,5104,5104,4396,86.1,226,4.4,142,2.8,509,10,58,1.1,78,1.5,5104,5104,145,2.8,63,1.2,0,0,27,0.5,55,1.1,4959,97.2,4085,80,169,3.3,20,0.4,447,8.8,9,0.2,0,0,229,4.5,0,0,229,4.5,2369,(X),3919,3919,1840,47,2079,53,5104,5104,2477,48.5,2627,51.5,94.3,(X),261,5.1,198,3.9,271,5.3,277,5.4,467,9.1,744,14.6,572,11.2,605,11.9,350,6.9,328,6.4,506,9.9,258,5.1,267,5.2,39,(X),921,18,4320,84.6,4183,82,4053,79.4,1193,23.4,1031,20.2,4183,4183,1942,46.4,2241,53.6,86.7,(X),1031,1031,414,40.2,617,59.8
1400000US41003000400,"Census Tract 4, Benton County, Oregon",4.9,96.4,(X),7883,7883,7705,97.7,178,2.3,7705,97.7,6808,86.4,0,0,100,1.3,0,0,65,0.8,0,0,0,0,797,10.1,152,1.9,207,2.6,55,0.7,46,0.6,275,3.5,26,0.3,36,0.5,0,0,0,0,0,0,0,0,0,0,0,0,178,2.3,22,0.3,77,1,58,0.7,0,0,7883,7883,6986,88.6,22,0.3,198,2.5,855,10.8,0,0,21,0.3,7883,7883,342,4.3,256,3.2,0,0,0,0,86,1.1,7541,95.7,6487,82.3,0,0,100,1.3,797,10.1,0,0,0,0,157,2,0,0,157,2,3512,(X),5916,5916,2958,50,2958,50,7883,7883,3782,48,4101,52,92.2,(X),266,3.4,347,4.4,564,7.2,340,4.3,804,10.2,847,10.7,987,12.5,886,11.2,616,7.8,680,8.6,927,11.8,487,6.2,132,1.7,41.7,(X),1466,18.6,6605,83.8,6417,81.4,6338,80.4,1962,24.9,1546,19.6,6417,6417,3199,49.9,3218,50.1,99.4,(X),1546,1546,759,49.1,787,50.9
