"GEO_ID","id",
"NAME","Geographic Area Name",
"S2802_C01_001E","Estimate!!Total!!Total population in households",
"S2802_C01_001M","Margin of Error!!Total MOE!!Total population in households",
"S2802_C01_002E","Estimate!!Total!!Total population in households!!AGE!!Under 18 years",
"S2802_C01_002M","Margin of Error!!Total MOE!!Total population in households!!AGE!!Under 18 years",
"S2802_C01_003E","Estimate!!Total!!Total population in households!!AGE!!18 to 64 years",
"S2802_C01_003M","Margin of Error!!Total MOE!!Total population in households!!AGE!!18 to 64 years",
"S2802_C01_004E","Estimate!!Total!!Total population in households!!AGE!!65 years and over",
"S2802_C01_004M","Margin of Error!!Total MOE!!Total population in households!!AGE!!65 years and over",
"S2802_C01_005E","Estimate!!Total!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C01_005M","Margin of Error!!Total MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2802_C01_006E","Estimate!!Total!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2802_C01_006M","Margin of Error!!Total MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2802_C01_007E","Estimate!!Total!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2802_C01_007M","Margin of Error!!Total MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2802_C01_008E","Estimate!!Total!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2802_C01_008M","Margin of Error!!Total MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2802_C01_009E","Estimate!!Total!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2802_C01_009M","Margin of Error!!Total MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2802_C01_010E","Estimate!!Total!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2802_C01_010M","Margin of Error!!Total MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2802_C01_011E","Estimate!!Total!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2802_C01_011M","Margin of Error!!Total MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2802_C01_012E","Estimate!!Total!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)",
"S2802_C01_012M","Margin of Error!!Total MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)",
"S2802_C01_013E","Estimate!!Total!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",
"S2802_C01_013M","Margin of Error!!Total MOE!!Total population in households!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",
"S2802_C01_014E","Estimate!!Total!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over",
"S2802_C01_014M","Margin of Error!!Total MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over",
"S2802_C01_015E","Estimate!!Total!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency",
"S2802_C01_015M","Margin of Error!!Total MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency",
"S2802_C01_016E","Estimate!!Total!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",
"S2802_C01_016M","Margin of Error!!Total MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",
