DBAName,MaxAdvertisedDownstreamSpeed,MaxAdvertisedUpstreamSpeed,state,Region,CountServiceAvailablebyRegionAndCompanyAndDLspeed
"600Amps Internet Services, Inc.",100,100,Oregon,southwest,54
"Alyrica Networks, Inc.",40,5,Oregon,northwest,18276
"Alyrica Networks, Inc.",1000,1000,Oregon,northwest,41
Azure Standard,25,10,Oregon,east,14
Azure Standard,40,10,Oregon,east,1
Beavercreek Cooperative Telephone Company,100,5,Oregon,northwest,138
BendBroadband,100,10,Oregon,east,1191
BendBroadband,600,20,Oregon,east,3507
BendBroadband,600,20,Oregon,southwest,7
"Blackfoot Communications, Inc.",50,50,Oregon,northwest,1
Cable ONE,1000,50,Oregon,east,700
Cal-Ore Communications Inc.,25,3,Oregon,southwest,4
Cal-Ore Communications Inc.,50,4,Oregon,southwest,180
Cascade Utilities,100,50,Oregon,east,5
Cascade Utilities,100,50,Oregon,northwest,244
Cascade Utilities,100,50,Oregon,southwest,57
CenturyLink,40,5,Oregon,east,864
CenturyLink,40,5,Oregon,northwest,2341
CenturyLink,40,5,Oregon,southwest,556
CenturyLink,40,20,Oregon,east,150
CenturyLink,40,20,Oregon,northwest,332
CenturyLink,40,20,Oregon,southwest,138
CenturyLink,60,5,Oregon,east,657
CenturyLink,60,5,Oregon,northwest,1700
CenturyLink,60,5,Oregon,southwest,764
CenturyLink,60,30,Oregon,east,4
CenturyLink,60,30,Oregon,northwest,10
CenturyLink,60,30,Oregon,southwest,1
CenturyLink,80,10,Oregon,east,399
CenturyLink,80,10,Oregon,northwest,2081
CenturyLink,80,10,Oregon,southwest,140
CenturyLink,80,40,Oregon,east,123
CenturyLink,80,40,Oregon,northwest,784
CenturyLink,80,40,Oregon,southwest,31
CenturyLink,100,10,Oregon,east,413
CenturyLink,100,10,Oregon,northwest,3036
CenturyLink,100,10,Oregon,southwest,218
CenturyLink,100,50,Oregon,east,10
CenturyLink,100,50,Oregon,northwest,181
CenturyLink,100,50,Oregon,southwest,6
CenturyLink,100,100,Oregon,east,1
CenturyLink,100,100,Oregon,northwest,10
CenturyLink,100,100,Oregon,southwest,13
CenturyLink,120,10,Oregon,east,240
CenturyLink,120,10,Oregon,northwest,796
CenturyLink,120,10,Oregon,southwest,7
CenturyLink,140,20,Oregon,east,620
CenturyLink,140,20,Oregon,northwest,2104
CenturyLink,140,20,Oregon,southwest,18
CenturyLink,1000,1000,Oregon,east,144
CenturyLink,1000,1000,Oregon,northwest,12107
CenturyLink,1000,1000,Oregon,southwest,133
Charter Communications Inc,120,10,Oregon,east,823
Charter Communications Inc,300,20,Oregon,east,899
Charter Communications Inc,300,20,Oregon,northwest,556
Charter Communications Inc,400,20,Oregon,northwest,601
Charter Communications Inc,940,35,Oregon,east,2620
Charter Communications Inc,940,35,Oregon,northwest,7510
Charter Communications Inc,940,35,Oregon,southwest,16815
Clatskanie Co-op,100,50,Oregon,northwest,7
Cleer Creek Communications,100,6,Oregon,northwest,121
CoastCom,40,40,Oregon,northwest,1502
CoastCom,1000,1000,Oregon,northwest,4
Colton Telephone Company,150,50,Oregon,northwest,132
Comcast,987,35,Oregon,east,17
Comcast,987,35,Oregon,northwest,35560
Comcast,987,35,Oregon,southwest,6
Comcast,1000,1000,Oregon,northwest,11
ComspanCommunications,100,10,Oregon,southwest,34
ComspanCommunications,1000,1000,Oregon,southwest,330
DATAVISION COMMUNICATIONS LLC,30,10,Oregon,northwest,12
DATAVISION COMMUNICATIONS LLC,1000,100,Oregon,northwest,285
DATAVISION COMMUNICATIONS LLC,1000,1000,Oregon,northwest,12
DirectLink,30,5,Oregon,northwest,49
DirectLink,1000,1000,Oregon,northwest,476
Douglas Fast Net,40,5,Oregon,southwest,1641
Douglas Fast Net,1000,1000,Oregon,northwest,44
Douglas Fast Net,1000,1000,Oregon,southwest,5957
"Eastern Oregon Net, Inc",30,5,Oregon,east,1
"Eastern Oregon Net, Inc",30,10,Oregon,east,142
"Eastern Oregon Net, Inc",30,30,Oregon,east,1
"Eastern Oregon Net, Inc",33,5,Oregon,east,225
"Eastern Oregon Net, Inc",33,11,Oregon,east,60
"Eastern Oregon Net, Inc",33,30,Oregon,east,1
"Eastern Oregon Net, Inc",33,33,Oregon,east,1
"Eastern Oregon Net, Inc",60,60,Oregon,east,2
"Eastern Oregon Net, Inc",66,11,Oregon,east,8
"Eastern Oregon Net, Inc",66,22,Oregon,east,5
"Eastern Oregon Net, Inc",100,100,Oregon,east,1
"Eastern Oregon Net, Inc",110,33,Oregon,east,3
"Eastern Oregon Net, Inc",110,110,Oregon,east,1
"Eastern Oregon Net, Inc",1000,100,Oregon,east,34
"Eastern Oregon Net, Inc",1000,110,Oregon,east,2
"Eastern Oregon Net, Inc",1000,1000,Oregon,east,1
Eastern Oregon Telecom,100,10,Oregon,east,440
Eastern Oregon Telecom,1000,1000,Oregon,east,484
Farmers Mutual Telephone Company,50,5,Oregon,east,11
FireServe,50,20,Oregon,southwest,212
FireServe,100,20,Oregon,southwest,3402
FireServe,1000,1000,Oregon,southwest,93
Frontier Communications Corporation,100,100,Oregon,east,42
Frontier Communications Corporation,100,100,Oregon,northwest,8852
Frontier Communications Corporation,100,100,Oregon,southwest,22
Gorge Networks,25,5,Oregon,east,1
Gorge Networks,30,5,Oregon,east,1
Gorge Networks,30,10,Oregon,east,1
Gorge Networks,50,20,Oregon,east,1
Gorge Networks,100,10,Oregon,east,32
Gorge Networks,100,100,Oregon,east,40
HOME TELEPHONE CO,30,3,Oregon,east,2
HOME TELEPHONE CO,150,50,Oregon,east,91
HughesNet,25,3,Oregon,east,52740
HughesNet,25,3,Oregon,northwest,88381
HughesNet,25,3,Oregon,southwest,49170
Hunter Communications Inc,50,10,Oregon,northwest,1
Hunter Communications Inc,50,10,Oregon,southwest,30
Hunter Communications Inc,300,30,Oregon,southwest,16
Hunter Communications Inc,1000,100,Oregon,southwest,942
Infostructure,25,4,Oregon,east,4
Infostructure,25,5,Oregon,southwest,3
Infostructure,25,25,Oregon,northwest,1
Infostructure,30,4,Oregon,northwest,6
Infostructure,30,4,Oregon,southwest,30
Infostructure,30,30,Oregon,east,2
Infostructure,30,30,Oregon,northwest,2
Infostructure,30,30,Oregon,southwest,1
Infostructure,32,32,Oregon,northwest,1
Infostructure,32,32,Oregon,southwest,3
Infostructure,40,5,Oregon,northwest,1
